类别,书名,月票数
[古典仙侠],仙侠世界,8370
[穿越历史],十国千娇,6573
[东方玄幻],问镜,5349
[东方玄幻],大荒蛮神,4260
[奇幻修真],剑王朝,4067
[东方玄幻],逆天邪神,3763
[奇幻修真],无仙,2514
[东方玄幻],九阳踏天,2413
[都市生活],终极教师,2314
[东方玄幻],雪中悍刀行,2079
[东方玄幻],符皇,1937
[异世大陆],永夜君王,1635
[古典仙侠],仙路争锋,1501
[穿梭时空],升级成仙,1220
[都市生活],最强狂兵,935
[东方玄幻],帝御魔刀,861
[东方玄幻],不败战神,812
[古典仙侠],猎龙刀,810
[都市重生],重生之商界大亨,785
[穿越历史],三国之最风流,558
[都市异能],低调术士,551
[古典仙侠],戮仙,537
[架空历史],国色生枭,477
[穿越历史],宰执天下,416
[进化变异],末日边缘,414
[异世大陆],鲲鹏九变,385
[古典仙侠],天玄印,375
[东方玄幻],道印,371
[东方玄幻],霸天雷神,354
[东方玄幻],盗梦战神,252
[古典仙侠],仙都,237
[异世大陆],武道玄皇,229
[都市生活],特种神医,226
[奇幻修真],仙路至尊,200
[东方玄幻],龙神决,187
[架空历史],争霸天下,169
[东方玄幻],星河大帝,153
[东方玄幻],无极剑神,140
[东方玄幻],武道至圣,131
[穿越历史],扶风歌,127
[异世大陆],图腾大陆,123
[穿越历史],大明帝师,115
[末世危机],末世之人类的曙光,113
[穿越历史],大明海寇,110
[青春校园],超级大文豪,105
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
