类别,书名,月票数
[异世大陆],冰火破坏神,4235
[东方玄幻],星河大帝,2413
[异世大陆],永夜君王,2006
[都市生活],终极教师,1962
[东方玄幻],不败战神,1653
[东方玄幻],雪中悍刀行,1062
[奇幻修真],绝世争仙,763
[异世大陆],图腾大陆,608
[异世大陆],传奇领主,554
[架空历史],国色生枭,483
[奇幻修真],不死冥轮,480
[东方玄幻],符皇,422
[奇幻修真],大至尊,405
[穿梭时空],死亡名单,390
[东方玄幻],刀剑神皇,377
[古典仙侠],仙路争锋,365
[都市生活],御宝天师,333
[东方玄幻],问镜,258
[架空历史],争霸天下,228
[西方奇幻],天神下凡,206
[穿越历史],宰执天下,170
[穿梭时空],天灾,110
[奇幻修真],无仙,101
[穿越历史],三国之最风流,99
[东方玄幻],道印,97
[奇幻修真],九鼎神皇,96
[虚拟网游],网游之天下第一,85
[东方玄幻],霸天雷神,82
[穿越历史],极品驸马,74
[东方玄幻],九阳踏天,72
[灵异神怪],棺山夜行,71
[体育竞技],胜券在手,66
[穿越历史],扶风歌,65
[都市异能],超级无敌召唤空间,64
[古典仙侠],蜀山五台教主,64
[穿越历史],大明海寇,57
[吸血传奇],血龙骄雄,55
[奇幻修真],真灵九变,54
[进化变异],灾厄纪元,48
[末世危机],末世黑暗纪,42
[虚拟网游],网游之梦幻法师,38
[奇幻修真],剑破仙惊,35
[奇幻修真],仙网,34
[东方玄幻],宇宙人族之王,31
[东方玄幻],太古至尊,27
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
