类别,书名,月票数
[异世大陆],冰火破坏神,11883
[异世大陆],图腾大陆,6750
[古典仙侠],仙路争锋,6160
[异世大陆],永夜君王,5403
[奇幻修真],不死冥轮,4720
[东方玄幻],大荒蛮神,3884
[奇幻修真],无仙,3538
[东方玄幻],无极剑神,1608
[东方玄幻],不败战神,1430
[都市生活],终极教师,941
[东方玄幻],雪中悍刀行,935
[穿越历史],大明帝师,895
[东方玄幻],符皇,846
[东方玄幻],刀剑神皇,844
[奇幻修真],仙路至尊,814
[东方玄幻],霸天雷神,728
[穿梭时空],死亡名单,522
[古典仙侠],魔道成仙,382
[东方玄幻],星河大帝,370
[穿梭时空],升级成仙,356
[异世大陆],至尊法神,333
[古典仙侠],戮仙,261
[东方玄幻],问镜,255
[架空历史],争霸天下,216
[架空历史],国色生枭,214
[灵异神怪],棺山夜行,168
[穿越历史],宰执天下,160
[奇幻修真],大至尊,151
[都市生活],御宝天师,134
[奇幻修真],偷香高手,123
[架空历史],曲尽星河,122
[都市生活],超级武器兑换系统,122
[东方玄幻],九阳踏天,111
[奇幻修真],九鼎神皇,90
[星际争霸],合金外壳,84
[虚拟网游],网游之不败战神,83
[穿越历史],大明海寇,82
[穿越历史],扶风歌,75
[穿越历史],极品驸马,73
[东方玄幻],道印,69
[异世大陆],传奇领主,67
[穿梭时空],无限杀业,66
[穿梭时空],神殖武力,59
[进化变异],灾厄纪元,56
[末世危机],末世黑暗纪,52
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
