类别,书名,月票数
[架空历史],长宁帝军,17800
[古典仙侠],剑来,13693
[都市生活],最强狂兵,4896
[传统武侠],大华恩仇引,4695
[东方玄幻],逆天邪神,4497
[都市生活],大刁民,4053
[奇幻修真],血染长生,3783
[东方玄幻],天骄战纪,2655
[东方玄幻],大夏王侯,2249
[都市生活],俗人的奋斗,2222
[奇幻修真],天刑纪,1868
[架空历史],楚臣,1438
[东方玄幻],狂暴逆袭,1419
[都市生活],最强逆袭,1390
[进化变异],星辰之主,1237
[异世大陆],永夜君王,1091
[都市重生],神级奶爸,1036
[东方玄幻],无敌剑域,949
[穿越历史],大明春色,908
[都市异能],绝命毒尸,751
[星际争霸],踏星,746
[都市异能],开个诊所来修仙,615
[都市生活],下山虎,612
[职场商战],金钱无罪,532
[都市生活],点道为止,501
[东方玄幻],剑道通神,480
[奇幻修真],偷香高手,472
[东方玄幻],圣武星辰,345
[都市异能],最强妖孽,338
[职场商战],无耻之徒,337
[异世大陆],原血神座,328
[东方玄幻],元尊,324
[奇幻修真],平天策,319
[东方玄幻],九界武神,305
[都市生活],极品大玩家,287
[都市生活],近身狂兵,253
[东方玄幻],一世独尊,229
[架空历史],大明1617,215
[东方玄幻],无敌剑魂,212
[架空历史],宋疆,189
[都市异能],超厉害的天选者们,189
[东方玄幻],狂锋噬龙,184
[都市生活],妙医鸿途,156
[都市生活],医等狂兵,153
[都市异能],极品神眼,153
[东方玄幻],雪中悍刀行,148
[奇幻修真],仙路至尊,143
[东方玄幻],帝道独尊,139
[都市生活],全音阶狂潮,133
[都市生活],医品宗师,122
[架空历史],锦衣春秋,122
[穿越历史],宰执天下,121
[都市生活],花都最强狂龙,113
[都市生活],绝品强少,97
[东方玄幻],万界仙王,94
[东方玄幻],藏锋,93
[都市生活],霉运阴阳眼,93
