类别,书名,月票数
[都市生活],超品战兵,22608
[古典仙侠],剑来,14515
[都市异能],最强妖孽,9460
[东方玄幻],圣武星辰,7654
[东方玄幻],踏天无痕,5049
[都市生活],近身狂兵,4682
[东方玄幻],儒武争锋,4204
[都市异能],绝命毒尸,3870
[奇幻修真],九界仙尊,3593
[都市生活],最强狂兵,2824
[东方玄幻],无敌剑域,2283
[奇幻修真],天刑纪,2267
[异世大陆],原血神座,1980
[东方玄幻],天骄战纪,1879
[东方玄幻],大逆之门,1842
[异世大陆],永夜君王,1811
[都市生活],全音阶狂潮,1357
[都市生活],下山虎,1262
[转世重生],官方救世主,1232
[都市重生],桃运邪医,1146
[东方玄幻],逆天邪神,1113
[都市生活],极品大玩家,923
[奇幻修真],平天策,728
[架空历史],锦衣春秋,640
[进化变异],星辰之主,569
[东方玄幻],元尊,531
[都市生活],妙医鸿途,482
[都市生活],最强逆袭,465
[都市生活],特战之王,464
[都市生活],点道为止,455
[穿越历史],大明春色,400
[都市重生],神级奶爸,399
[架空历史],大明1617,365
[东方玄幻],一世独尊,318
[都市生活],医等狂兵,307
[都市生活],花都最强狂龙,301
[奇幻修真],偷香高手,282
[古典仙侠],浮沧录,280
[东方玄幻],大夏王侯,251
[末世危机],末日岩帝,248
[东方玄幻],大道问鼎,247
[东方玄幻],大道诛天,235
[东方玄幻],龙武战神,234
[东方玄幻],九天剑主,232
[奇幻修真],一剑倾国,232
[古典仙侠],囚仙,224
[都市异能],末日刁民,223
[都市重生],重生之商业大亨,204
[奇幻修真],仙路至尊,200
[奇幻修真],血染长生,188
[东方玄幻],盖世帝尊,181
[异世大陆],万域之王,177
[古典仙侠],仙武道纪,147
[穿越历史],盛世大明,118
[穿越历史],混在1275,116
[都市生活],医品宗师,115
[都市异能],极品神眼,104
[都市异能],逆鳞,101
[穿越历史],唐谋天下,100
