类别,书名,月票数
[古典仙侠],剑来,35001
[架空历史],长宁帝军,19036
[都市异能],绝命毒尸,8618
[架空历史],锦衣春秋,6662
[东方玄幻],天骄战纪,6453
[都市生活],医品宗师,5602
[东方玄幻],一剑独尊,5034
[东方玄幻],剑骨,4159
[都市生活],医流武神,4049
[东方玄幻],狂暴逆袭,3766
[都市生活],妙医鸿途,3248
[架空历史],楚臣,2063
[都市重生],重启修仙纪元,1903
[东方玄幻],至尊邪神,1670
[都市生活],最强狂兵,1516
[都市生活],特战之王,1349
[东方玄幻],逆天邪神,1330
[传统武侠],大华恩仇引,1050
[都市生活],超品仙医,964
[穿越历史],大明春色,943
[奇幻修真],天刑纪,908
[东方玄幻],一世独尊,594
[异世大陆],永夜君王,540
[都市生活],全音阶狂潮,536
[都市重生],桃运邪医,519
[都市异能],开个诊所来修仙,491
[都市重生],神级奶爸,470
[星际争霸],踏星,463
[都市生活],匠心,368
[王朝争霸],盗天之路,341
[异术超能],超级吞噬系统,324
[古典仙侠],至高法则系统,318
[都市生活],下山虎,302
[异世大陆],逐恒,290
[东方玄幻],守境人,290
[奇幻修真],偷香高手,265
[职场商战],无耻之徒,247
[都市生活],等我回家,242
[西方奇幻],天神下凡,236
[都市生活],大刁民,232
[现代战争],青天行动,231
[进化变异],星辰之主,212
[奇幻修真],平天策,211
[现代修真],蓝月之主,203
[都市生活],点道为止,202
[东方玄幻],圣武星辰,201
[东方玄幻],元尊,189
[东方玄幻],帝道独尊,179
[异世大陆],原血神座,179
[都市异能],超品狂医,176
[古典仙侠],人间最得意,168
[异世大陆],菜刀通天,168
[东方玄幻],无敌剑魂,148
[都市生活],医等狂兵,139
[都市生活],猎户出山,137
[架空历史],大魏王侯,132
[穿越历史],宰执天下,132
[古典仙侠],十方乾坤,131
