类别,书名,月票数
[古典仙侠],剑来,41878
[都市重生],神级奶爸,9195
[东方玄幻],圣武星辰,9060
[都市生活],点道为止,8923
[东方玄幻],帝道独尊,7312
[东方玄幻],儒武争锋,5427
[架空历史],大明1617,5363
[奇幻修真],天刑纪,4287
[都市生活],全音阶狂潮,4194
[东方玄幻],人道帝尊,4166
[奇幻修真],九界仙尊,4094
[异世大陆],永夜君王,2845
[都市生活],至尊纨绔,2519
[东方玄幻],万界仙王,2497
[东方玄幻],狂暴逆袭,2308
[都市生活],下山虎,2231
[东方玄幻],天骄战纪,2118
[都市生活],最强狂兵,2050
[东方玄幻],无敌剑域,2038
[都市异能],绝命毒尸,1988
[异世大陆],原血神座,1979
[进化变异],星辰之主,1310
[都市生活],极品大玩家,1235
[都市异能],开个诊所来修仙,1209
[都市生活],近身狂兵,1167
[星际争霸],踏星,949
[穿越历史],大明春色,867
[东方玄幻],踏天无痕,865
[职场商战],无耻之徒,796
[奇幻修真],一剑倾国,777
[都市异能],医品至尊,730
[都市生活],医等狂兵,607
[都市生活],超品战兵,587
[东方玄幻],大夏王侯,562
[都市生活],花都最强狂龙,541
[都市生活],特战之王,510
[都市生活],妙医鸿途,474
[东方玄幻],逆天邪神,450
[奇幻修真],偷香高手,349
[转世重生],官方救世主,346
[奇幻修真],平天策,341
[穿越历史],混在1275,330
[东方玄幻],元尊,312
[都市异能],最强妖孽,307
[东方玄幻],一世独尊,299
[末世危机],行尸腐肉,257
[古典仙侠],浮沧录,234
[都市异能],极品神眼,220
[东方玄幻],无敌剑魂,215
[都市生活],大刁民,207
[奇幻修真],仙路至尊,188
[东方玄幻],九天剑主,185
[都市生活],医品宗师,182
[东方玄幻],大逆之门,170
[东方玄幻],雪中悍刀行,165
[东方玄幻],藏锋,160
[东方玄幻],剑道通神,154
[末世危机],末日岩帝,142
[穿越历史],盛世大明,136
