类别,书名,月票数
[东方玄幻],天骄战纪,38314
[古典仙侠],剑来,37475
[都市重生],神级奶爸,10316
[东方玄幻],狂暴逆袭,9760
[东方玄幻],剑道通神,9717
[传统武侠],大华恩仇引,8705
[都市生活],大刁民,7701
[架空历史],楚臣,5371
[东方玄幻],圣武星辰,5202
[都市生活],最强逆袭,3863
[都市异能],绝命毒尸,2932
[奇幻修真],天刑纪,2620
[古典仙侠],浮沧录,2576
[异世大陆],永夜君王,2328
[都市生活],绝品强少,2201
[都市生活],下山虎,1898
[都市生活],最强狂兵,1599
[东方玄幻],无敌剑域,1541
[异世大陆],幻神,1240
[都市生活],全音阶狂潮,1133
[进化变异],星辰之主,1130
[古典仙侠],钧天图,1114
[东方玄幻],元尊,888
[东方玄幻],雪中悍刀行,851
[东方玄幻],逆天邪神,701
[都市生活],猎户出山,661
[西方奇幻],加冕为王,653
[架空历史],宋疆,644
[架空历史],长宁帝军,640
[都市生活],极品大玩家,626
[都市生活],近身狂兵,615
[奇幻修真],偷香高手,566
[奇幻修真],平天策,547
[穿越历史],大明春色,547
[都市生活],点道为止,540
[东方玄幻],帝道独尊,524
[东方玄幻],儒武争锋,522
[都市异能],开个诊所来修仙,459
[职场商战],无耻之徒,454
[都市生活],极品神医,439
[东方玄幻],无敌剑魂,419
[异世大陆],原血神座,378
[东方玄幻],狂锋噬龙,324
[东方玄幻],一世独尊,299
[星际争霸],踏星,292
[都市异能],最强妖孽,276
[末世危机],行尸腐肉,265
[奇幻修真],一剑倾国,261
[都市生活],医等狂兵,253
[都市生活],春雷1979,232
[奇幻修真],少侠饶命,232
[都市生活],妙医鸿途,203
[架空历史],大明1617,200
[转世重生],官方救世主,196
[东方玄幻],大夏王侯,191
[架空历史],锦衣春秋,183
[都市异能],超厉害的天选者们,172
