类别,书名,月票数
[东方玄幻],圣武星辰,39027
[古典仙侠],剑来,31990
[都市生活],医品宗师,13796
[东方玄幻],帝道独尊,13233
[奇幻修真],血染长生,11903
[都市重生],神级奶爸,10936
[传统武侠],大华恩仇引,9680
[架空历史],宋疆,8623
[穿越历史],大明春色,5548
[都市生活],霉运阴阳眼,4920
[都市重生],天尊下凡,4379
[架空历史],楚臣,4339
[东方玄幻],天骄战纪,3304
[王朝争霸],盗天之路,2044
[奇幻修真],天刑纪,2019
[东方玄幻],狂暴逆袭,2011
[都市生活],大刁民,1952
[进化变异],星辰之主,1872
[都市生活],等我回家,1666
[都市生活],最强狂兵,1388
[东方玄幻],逆天邪神,1348
[东方玄幻],守境人,1112
[架空历史],长宁帝军,1040
[东方玄幻],至尊邪神,1023
[异世大陆],永夜君王,905
[都市异能],透视神医,845
[都市生活],匠心,843
[现代修真],蓝月之主,774
[都市异能],绝命毒尸,765
[架空历史],大明1617,752
[都市生活],极品大玩家,708
[奇幻修真],偷香高手,664
[都市生活],下山虎,543
[都市异能],开个诊所来修仙,535
[都市生活],绝品强少,489
[都市生活],点道为止,477
[都市生活],近身狂兵,467
[星际争霸],踏星,459
[异术超能],神炎灭世,451
[都市生活],全音阶狂潮,434
[奇幻修真],焚天路,379
[职场商战],无耻之徒,318
[古典仙侠],至高法则系统,274
[东方玄幻],元尊,257
[东方玄幻],儒武争锋,257
[东方玄幻],无敌剑魂,253
[都市生活],妙医鸿途,253
[穿越历史],混在1275,253
[奇幻修真],一剑倾国,246
[进化变异],最终使徒,226
[都市异能],最强都市修真,225
[异世大陆],原血神座,216
[东方玄幻],一世独尊,210
[奇幻修真],平天策,202
[都市生活],猎户出山,198
[东方玄幻],我是大神落人间,194
