类别,书名,月票数
[东方玄幻],一剑独尊,34592
[古典仙侠],剑来,34064
[都市重生],重启修仙纪元,17133
[东方玄幻],帝道独尊,16277
[传统武侠],大华恩仇引,12219
[王朝争霸],盗天之路,9123
[架空历史],长宁帝军,8891
[东方玄幻],剑骨,7526
[都市生活],医品宗师,7108
[都市生活],最强狂兵,5873
[新派武侠],大侠萧金衍,5709
[架空历史],楚臣,3708
[东方玄幻],天骄战纪,2616
[东方玄幻],狂暴逆袭,2416
[都市重生],神级奶爸,2384
[东方玄幻],逆天邪神,2266
[奇幻修真],天刑纪,2241
[都市生活],医流武神,1828
[东方玄幻],大夏王侯,1787
[东方玄幻],至尊邪神,1696
[都市异能],校花的绝品术士,1618
[都市异能],我要做阎罗,1425
[都市生活],大刁民,1368
[奇幻修真],血染长生,1137
[都市生活],点道为止,1106
[都市生活],全音阶狂潮,1093
[异世大陆],永夜君王,1008
[穿越历史],大明春色,957
[星际争霸],踏星,862
[都市生活],匠心,746
[异世大陆],菜刀通天,646
[进化变异],星辰之主,579
[奇幻修真],偷香高手,568
[都市异能],开个诊所来修仙,567
[都市生活],下山虎,525
[都市生活],特战之王,509
[转世重生],官方救世主,438
[东方玄幻],圣武星辰,423
[都市重生],逆流青春年代,415
[东方玄幻],一世独尊,409
[都市异能],绝命毒尸,394
[古典仙侠],十方乾坤,344
[东方玄幻],元尊,338
[古典仙侠],人间最得意,321
[古典仙侠],太平客栈,300
[职场商战],无耻之徒,295
[末世危机],末日赘婿,280
[穿梭时空],时空神兵,269
[架空历史],碧海风云之谋定天下,259
[都市生活],猎户出山,250
[异世大陆],原血神座,212
[西方奇幻],骑士征程,210
[东方玄幻],无敌剑魂,207
[古典仙侠],仙界带头大哥,182
[科技时代],概率之外,180
[古典仙侠],执掌太初,173
[奇幻修真],平天策,173
