类别,书名,月票数
[都市生活],妙医鸿途,23737
[古典仙侠],剑来,21166
[都市异能],开个诊所来修仙,12248
[东方玄幻],一剑独尊,4981
[都市生活],医品宗师,4528
[东方玄幻],逆天邪神,4317
[都市生活],王牌大高手,3706
[架空历史],长宁帝军,3358
[都市生活],超品仙医,3099
[奇幻修真],焚天路,3075
[东方玄幻],天骄战纪,2972
[奇幻修真],天刑纪,2226
[都市生活],特战之王,2009
[东方玄幻],大夏王侯,1885
[传统武侠],大华恩仇引,1796
[东方玄幻],狂暴逆袭,1653
[东方玄幻],至尊邪神,1605
[都市生活],俗人的奋斗,1603
[古典仙侠],至高法则系统,1547
[东方玄幻],守境人,1502
[都市生活],最强狂兵,1454
[架空历史],楚臣,1356
[奇幻修真],血染长生,1353
[都市异能],绝命毒尸,1010
[穿越历史],大明春色,945
[都市重生],神级奶爸,659
[异世大陆],永夜君王,606
[都市生活],大刁民,546
[东方玄幻],圣武星辰,531
[进化变异],星辰之主,520
[穿梭时空],寻真路,512
[都市生活],医流武神,487
[现代修真],蓝月之主,486
[都市生活],全音阶狂潮,428
[都市生活],匠心,411
[都市生活],近身狂兵,381
[职场商战],无耻之徒,369
[都市异能],透视神医,357
[东方玄幻],一世独尊,349
[都市生活],下山虎,337
[星际争霸],踏星,336
[都市生活],点道为止,322
[奇幻修真],偷香高手,251
[东方玄幻],元尊,248
[东方玄幻],丹王武神,241
[东方玄幻],无敌剑魂,230
[东方玄幻],剑骨,224
[都市生活],等我回家,210
[都市异能],超品狂医,184
[东方玄幻],帝道独尊,183
[都市生活],医等狂兵,178
[奇幻修真],平天策,172
[古典仙侠],人间最得意,144
[架空历史],大魏王侯,143
[异世大陆],原血神座,142
[末世危机],末日赘婿,135
[虚拟网游],落地一把M16,135
