类别,书名,月票数
[古典仙侠],剑来,41050
[都市生活],医品宗师,17428
[东方玄幻],十方神王,13568
[都市生活],美女总裁的特战兵王,8823
[东方玄幻],帝道独尊,8330
[东方玄幻],儒武争锋,6432
[架空历史],长宁帝军,5553
[末世危机],末日岩帝,4530
[都市生活],超品战兵,4430
[古典仙侠],妖影,3779
[穿越历史],大明春色,3205
[职场商战],无耻之徒,2404
[都市生活],最强狂兵,2035
[传统武侠],大华恩仇引,2008
[都市重生],神级奶爸,1792
[东方玄幻],天骄战纪,1673
[东方玄幻],逆天邪神,1671
[奇幻修真],天刑纪,1510
[东方玄幻],狂暴逆袭,1488
[王朝争霸],盗天之路,1475
[东方玄幻],元尊,1337
[架空历史],楚臣,1103
[都市异能],绝命毒尸,954
[异世大陆],永夜君王,809
[进化变异],星辰之主,771
[东方玄幻],无敌剑域,767
[都市生活],匠心,762
[都市生活],俗人的奋斗,680
[东方玄幻],至尊邪神,556
[东方玄幻],守境人,493
[星际争霸],踏星,449
[都市生活],大刁民,447
[职场商战],金钱无罪,430
[都市生活],下山虎,408
[现代修真],蓝月之主,402
[都市异能],开个诊所来修仙,398
[都市生活],点道为止,363
[都市生活],全音阶狂潮,331
[东方玄幻],大夏王侯,327
[奇幻修真],偷香高手,318
[架空历史],宋疆,310
[都市生活],最强逆袭,291
[都市异能],最强都市修真,284
[架空历史],大明1617,283
[都市生活],医等狂兵,279
[异世大陆],时之使命,270
[西方奇幻],天神下凡,267
[东方玄幻],一世独尊,264
[异世大陆],原血神座,263
[都市生活],极品大玩家,247
[虚拟网游],我的心上有位长安客,245
[东方玄幻],圣武星辰,239
[末世危机],末日赘婿,227
[都市生活],霉运阴阳眼,218
[都市异能],透视神医,216
[穿越历史],乱世枭雄,211
