类别,书名,月票数
[古典仙侠],剑来,23825
[架空历史],楚臣,16506
[架空历史],锦衣春秋,11471
[都市异能],绝命毒尸,9673
[东方玄幻],圣武星辰,9246
[东方玄幻],天骄战纪,5624
[东方玄幻],剑道通神,3513
[都市生活],大刁民,3409
[奇幻修真],天刑纪,3264
[东方玄幻],帝道独尊,3156
[都市生活],医等狂兵,3086
[都市生活],近身狂兵,2843
[异世大陆],永夜君王,2293
[东方玄幻],儒武争锋,2283
[都市重生],神级奶爸,2237
[东方玄幻],大夏王侯,2183
[都市生活],超品仙医,2163
[都市生活],春雷1979,2030
[都市生活],最强狂兵,1812
[东方玄幻],狂暴逆袭,1811
[都市生活],下山虎,1482
[东方玄幻],无敌剑域,1390
[都市生活],点道为止,673
[穿越历史],大明春色,604
[东方玄幻],逆天邪神,604
[东方玄幻],一世独尊,586
[都市生活],超品战兵,578
[东方玄幻],大逆之门,572
[异世大陆],原血神座,528
[异世大陆],幻神,514
[进化变异],星辰之主,448
[都市生活],全音阶狂潮,414
[架空历史],大明1617,374
[职场商战],无耻之徒,342
[都市异能],开个诊所来修仙,341
[都市生活],最强逆袭,316
[都市生活],美女总裁的特战兵王,315
[都市生活],极品大玩家,315
[奇幻修真],平天策,315
[东方玄幻],元尊,309
[奇幻修真],偷香高手,287
[奇幻修真],仙路至尊,248
[东方玄幻],无敌剑魂,211
[星际争霸],踏星,202
[都市生活],妙医鸿途,201
[东方玄幻],藏锋,177
[东方玄幻],祭炼山河,176
[穿越历史],混在1275,158
[东方玄幻],大道问鼎,151
[东方玄幻],雪中悍刀行,137
[科技时代],末日崛起,119
[都市生活],医品宗师,112
[都市异能],最强妖孽,111
[末世危机],末日岩帝,100
[都市异能],极品神眼,95
[都市重生],桃运邪医,92
[转世重生],官方救世主,80
