类别,书名,月票数
[古典仙侠],剑来,38281
[都市异能],开个诊所来修仙,18222
[都市生活],点道为止,15240
[都市重生],神级奶爸,5451
[都市重生],重生之商业大亨,4742
[都市重生],桃运邪医,4729
[古典仙侠],妖影,3594
[奇幻修真],血染长生,3333
[东方玄幻],藏锋,3210
[东方玄幻],大逆之门,2795
[异世大陆],永夜君王,1779
[东方玄幻],无敌剑域,1755
[都市生活],全音阶狂潮,1670
[东方玄幻],狂暴逆袭,1635
[东方玄幻],无敌剑魂,1621
[古典仙侠],浮沧录,1522
[东方玄幻],天骄战纪,1359
[都市生活],美女总裁的特战兵王,1291
[都市异能],绝命毒尸,1178
[都市生活],近身狂兵,1162
[职场商战],无耻之徒,1079
[异世大陆],原血神座,1073
[穿越历史],大明春色,866
[东方玄幻],逆天邪神,759
[奇幻修真],天刑纪,734
[都市生活],最强狂兵,691
[都市生活],超品战兵,674
[进化变异],星辰之主,669
[东方玄幻],帝道独尊,527
[都市生活],下山虎,521
[东方玄幻],圣武星辰,491
[都市异能],最强妖孽,474
[都市生活],花都最强狂龙,460
[都市生活],医品宗师,376
[星际争霸],踏星,372
[都市异能],极品神眼,346
[架空历史],大明1617,340
[东方玄幻],大夏王侯,329
[都市生活],医等狂兵,322
[奇幻修真],九界仙尊,319
[东方玄幻],元尊,279
[奇幻修真],平天策,266
[东方玄幻],雪中悍刀行,251
[东方玄幻],轮回一剑,221
[奇幻修真],偷香高手,221
[都市生活],妙医鸿途,217
[奇幻修真],仙路至尊,216
[东方玄幻],一世独尊,189
[都市生活],极品大玩家,171
[末世危机],末日岩帝,166
[奇幻修真],一剑倾国,155
[西方奇幻],加冕为王,153
[转世重生],官方救世主,148
[东方玄幻],踏天无痕,140
[都市生活],大刁民,131
[东方玄幻],儒武争锋,126
[穿越历史],混在1275,123
[都市异能],医品至尊,122
