类别,书名,月票数
[东方玄幻],圣武星辰,20400
[都市生活],点道为止,14960
[古典仙侠],剑来,14018
[东方玄幻],儒武争锋,10338
[都市异能],最强妖孽,7276
[奇幻修真],血染长生,4410
[奇幻修真],九界仙尊,2796
[都市重生],重生之商业大亨,2586
[奇幻修真],天刑纪,2211
[异世大陆],永夜君王,2034
[异世大陆],原血神座,2009
[都市异能],绝命毒尸,1930
[都市生活],最强狂兵,1862
[都市异能],开个诊所来修仙,1568
[东方玄幻],大道诛天,1551
[东方玄幻],无敌剑域,1423
[转世重生],官方救世主,1309
[都市重生],神级奶爸,1303
[都市生活],下山虎,1276
[古典仙侠],浮沧录,1253
[都市生活],超品战兵,1235
[东方玄幻],玄原武神,1118
[都市生活],医等狂兵,1038
[东方玄幻],踏天无痕,877
[东方玄幻],大夏王侯,869
[职场商战],无耻之徒,842
[东方玄幻],天骄战纪,832
[都市生活],近身狂兵,787
[东方玄幻],逆天邪神,639
[末世危机],末日岩帝,598
[穿越历史],大明春色,542
[异世大陆],万域之王,417
[进化变异],星辰之主,402
[都市生活],全音阶狂潮,363
[奇幻修真],平天策,359
[奇幻修真],一剑倾国,357
[东方玄幻],元尊,352
[穿越历史],宰执天下,313
[东方玄幻],雪中悍刀行,301
[架空历史],大明1617,285
[奇幻修真],偷香高手,264
[西方奇幻],加冕为王,236
[穿越历史],唐谋天下,230
[都市生活],极品大玩家,224
[都市生活],最强逆袭,205
[传统武侠],刺客残月,200
[东方玄幻],大逆之门,191
[都市生活],妙医鸿途,182
[东方玄幻],一世独尊,180
[奇幻修真],仙路至尊,175
[都市异能],逆鳞,168
[都市生活],特战之王,162
[东方玄幻],无敌剑魂,155
[都市生活],医品宗师,153
[架空历史],锦衣春秋,144
[星际争霸],踏星,141
[东方玄幻],大道问鼎,138
[都市重生],桃运邪医,115
[科技时代],末日崛起,114
