类别,书名,月票数,时间
[都市生活],超品战兵,22608,2018
[古典仙侠],剑来,14515,2018
[都市异能],最强妖孽,9460,2018
[东方玄幻],圣武星辰,7654,2018
[东方玄幻],踏天无痕,5049,2018
[都市生活],近身狂兵,4682,2018
[东方玄幻],儒武争锋,4204,2018
[都市异能],绝命毒尸,3870,2018
[奇幻修真],九界仙尊,3593,2018
[都市生活],最强狂兵,2824,2018
[东方玄幻],无敌剑域,2283,2018
[奇幻修真],天刑纪,2267,2018
[异世大陆],原血神座,1980,2018
[东方玄幻],天骄战纪,1879,2018
[东方玄幻],大逆之门,1842,2018
[异世大陆],永夜君王,1811,2018
[都市生活],全音阶狂潮,1357,2018
[都市生活],下山虎,1262,2018
[转世重生],官方救世主,1232,2018
[都市重生],桃运邪医,1146,2018
[东方玄幻],逆天邪神,1113,2018
[都市生活],极品大玩家,923,2018
[奇幻修真],平天策,728,2018
[架空历史],锦衣春秋,640,2018
[进化变异],星辰之主,569,2018
[东方玄幻],元尊,531,2018
[都市生活],妙医鸿途,482,2018
[都市生活],最强逆袭,465,2018
[都市生活],特战之王,464,2018
[都市生活],点道为止,455,2018
[穿越历史],大明春色,400,2018
[都市重生],神级奶爸,399,2018
[架空历史],大明1617,365,2018
[东方玄幻],一世独尊,318,2018
[都市生活],医等狂兵,307,2018
[都市生活],花都最强狂龙,301,2018
[奇幻修真],偷香高手,282,2018
[古典仙侠],浮沧录,280,2018
[东方玄幻],大夏王侯,251,2018
[末世危机],末日岩帝,248,2018
[东方玄幻],大道问鼎,247,2018
[东方玄幻],大道诛天,235,2018
[东方玄幻],龙武战神,234,2018
[东方玄幻],九天剑主,232,2018
[奇幻修真],一剑倾国,232,2018
[古典仙侠],囚仙,224,2018
[都市异能],末日刁民,223,2018
[都市重生],重生之商业大亨,204,2018
[奇幻修真],仙路至尊,200,2018
[奇幻修真],血染长生,188,2018
[东方玄幻],盖世帝尊,181,2018
[异世大陆],万域之王,177,2018
[古典仙侠],仙武道纪,147,2018
[穿越历史],盛世大明,118,2018
[穿越历史],混在1275,116,2018
[都市生活],医品宗师,115,2018
[都市异能],极品神眼,104,2018
[都市异能],逆鳞,101,2018
[穿越历史],唐谋天下,100,2018
[东方玄幻],圣武星辰,20400,2018
[都市生活],点道为止,14960,2018
[古典仙侠],剑来,14018,2018
[东方玄幻],儒武争锋,10338,2018
[都市异能],最强妖孽,7276,2018
[奇幻修真],血染长生,4410,2018
[奇幻修真],九界仙尊,2796,2018
[都市重生],重生之商业大亨,2586,2018
[奇幻修真],天刑纪,2211,2018
[异世大陆],永夜君王,2034,2018
[异世大陆],原血神座,2009,2018
[都市异能],绝命毒尸,1930,2018
[都市生活],最强狂兵,1862,2018
[都市异能],开个诊所来修仙,1568,2018
[东方玄幻],大道诛天,1551,2018
[东方玄幻],无敌剑域,1423,2018
[转世重生],官方救世主,1309,2018
[都市重生],神级奶爸,1303,2018
[都市生活],下山虎,1276,2018
[古典仙侠],浮沧录,1253,2018
[都市生活],超品战兵,1235,2018
[东方玄幻],玄原武神,1118,2018
[都市生活],医等狂兵,1038,2018
[东方玄幻],踏天无痕,877,2018
[东方玄幻],大夏王侯,869,2018
