类别,书名,月票数
[古典仙侠],剑来,45388
[都市生活],医流武神,27101
[新派武侠],大侠萧金衍,24863
[架空历史],长宁帝军,8193
[东方玄幻],一剑独尊,7057
[东方玄幻],剑骨,5672
[都市生活],最强狂兵,4634
[架空历史],碧海风云之谋定天下,4148
[东方玄幻],轮回一剑,3859
[都市生活],猎户出山,3660
[科技时代],概率之外,3655
[都市异能],都市超级高手,2504
[东方玄幻],天骄战纪,2220
[都市异能],超品狂医,2218
[异世大陆],我欲断天,2032
[西方奇幻],骑士征程,2014
[都市异能],临界血线,2006
[星际争霸],辐射信仰,1935
[古典仙侠],仗剑问仙,1805
[架空历史],山海横流,1789
[东方玄幻],一世独尊,1670
[架空历史],楚臣,1597
[东方玄幻],逆天邪神,1524
[奇幻修真],天元明纪,1352
[架空历史],大照圣朝,1256
[奇妙物语],金币即是正义,1249
[星际争霸],踏星,1212
[都市重生],神级奶爸,1144
[奇幻修真],一剑长安,1034
[奇幻修真],冒牌修仙者,1002
[东方玄幻],至尊邪神,966
[异世大陆],禁天源契,955
[西方奇幻],天神下凡,866
[东方玄幻],猎天争锋,743
[都市异能],都市妙手医尊,740
[都市生活],市井之徒,663
[都市异能],我要做阎罗,644
[架空历史],锦衣春秋,635
[进化变异],星辰之主,618
[都市生活],大刁民,611
[穿越历史],大明春色,519
[架空历史],三国之老师在此,421
[东方玄幻],大道剑主,420
[都市异能],开个诊所来修仙,416
[异世大陆],九转星陨诀,381
[都市异能],初生之主,378
[东方玄幻],帝道独尊,362
[东方玄幻],我从天上来,348
[古典仙侠],十方乾坤,284
[异世大陆],无限随机系统,281
[奇幻修真],天刑纪,277
[奇幻修真],一剑倾国,267
[末世危机],枯骨大帝,266
[古典仙侠],剑兮归来,241
[东方玄幻],狂暴逆袭,241
[东方玄幻],万维,238
[进化变异],最终使徒,236
[东方玄幻],儒武争锋,233
[都市异能],麒麟奶爸,232
[东方玄幻],绝世刀霸,229
