类别,书名,月票数
[古典仙侠],剑来,61339
[东方玄幻],帝道独尊,37374
[奇幻修真],血染长生,25121
[新派武侠],大侠萧金衍,10672
[都市生活],最强狂兵,8507
[都市重生],重启修仙纪元,7310
[东方玄幻],逆天邪神,7047
[末世危机],末日赘婿,6274
[异世大陆],九转星陨诀,5352
[架空历史],楚臣,3885
[架空历史],长宁帝军,3736
[都市异能],开个诊所来修仙,3497
[星际争霸],踏星,3125
[东方玄幻],天骄战纪,2942
[东方玄幻],儒武争锋,2716
[奇幻修真],焚天路,2674
[奇幻修真],天刑纪,2458
[传统武侠],大华恩仇引,2400
[虚拟网游],全职女神,2365
[都市生活],医流武神,2340
[东方玄幻],一剑独尊,2315
[王朝争霸],盗天之路,2310
[东方玄幻],至尊邪神,1449
[古典仙侠],沧澜仙纪,1358
[穿梭时空],虚幻为王,1354
[末世危机],数据废土,1238
[架空历史],碧海风云之谋定天下,1208
[都市生活],市井之徒,966
[都市异能],我要做阎罗,891
[东方玄幻],万世为王,653
[东方玄幻],一世独尊,637
[都市生活],全音阶狂潮,536
[进化变异],星辰之主,510
[穿越历史],大明春色,495
[东方玄幻],狂暴逆袭,485
[西方奇幻],骑士征程,463
[都市异能],绝命毒尸,400
[都市生活],点道为止,386
[都市异能],都市之我真的无敌,374
[职场商战],无耻之徒,357
[奇幻修真],偷香高手,346
[都市重生],神级奶爸,342
[东方玄幻],元尊,325
[架空历史],锦衣春秋,318
[东方玄幻],一剑破道,302
[都市生活],大刁民,297
[穿越历史],乱世枭雄,277
[东方玄幻],剑骨,271
[古典仙侠],一剑朝天,263
[古典仙侠],人间最得意,262
[都市生活],都市超级医生,257
[进化变异],流浪之城,257
[古典仙侠],太平客栈,257
[都市生活],医品宗师,255
[科技时代],概率之外,251
[东方玄幻],吞海,246
[古典仙侠],余生半甲子,238
[都市生活],匠心,232
