类别,书名,月票数
[东方玄幻],一世独尊,29812
[古典仙侠],剑来,25487
[都市异能],开个诊所来修仙,8734
[都市生活],医流武神,8601
[新派武侠],大侠萧金衍,7789
[都市生活],医品宗师,6279
[都市生活],最强狂兵,5803
[奇幻修真],血染长生,5078
[都市重生],神级奶爸,4363
[东方玄幻],一剑独尊,4324
[架空历史],长宁帝军,4044
[东方玄幻],逆天邪神,2970
[架空历史],楚臣,2817
[都市异能],我要做阎罗,2530
[东方玄幻],万世为王,2036
[东方玄幻],剑骨,1670
[东方玄幻],天骄战纪,1607
[奇幻修真],天刑纪,1476
[东方玄幻],至尊邪神,1447
[王朝争霸],盗天之路,1280
[异世大陆],永夜君王,1138
[都市重生],重生之奶爸医圣,962
[传统武侠],大华恩仇引,716
[东方玄幻],轮回剑主,660
[星际争霸],踏星,516
[东方玄幻],狂暴逆袭,497
[奇幻修真],偷香高手,446
[都市生活],匠心,435
[都市生活],全音阶狂潮,431
[都市生活],大刁民,380
[都市生活],下山虎,356
[都市重生],逆流青春年代,300
[异世大陆],菜刀通天,294
[穿越历史],大明春色,281
[古典仙侠],人间最得意,273
[都市异能],绝命毒尸,250
[古典仙侠],十方乾坤,233
[都市异能],全能医王,229
[西方奇幻],骑士征程,205
[都市生活],点道为止,198
[东方玄幻],圣武星辰,176
[都市生活],医等狂兵,176
[末世危机],末日赘婿,174
[东方玄幻],元尊,170
[穿越历史],宰执天下,161
[东方玄幻],帝道独尊,147
[职场商战],无耻之徒,145
[架空历史],贴身家丁,138
[古典仙侠],执掌太初,130
[架空历史],宋疆,124
[架空历史],碧海风云之谋定天下,122
[架空历史],大魏王侯,118
[古典仙侠],剑起兮,115
[异世大陆],原血神座,115
[东方玄幻],踏天争仙,112
[东方玄幻],祭炼山河,109
[东方玄幻],剑道通神,107
[奇幻修真],我是半妖,102
