类别,书名,月票数
[架空历史],长宁帝军,21353
[古典仙侠],剑来,19540
[都市重生],神级奶爸,4971
[末世危机],末日赘婿,4092
[新派武侠],大侠萧金衍,3230
[奇幻修真],我是半妖,3113
[王朝争霸],万道仙师,2993
[东方玄幻],万维,2494
[都市生活],医流武神,2479
[古典仙侠],人间最得意,2473
[东方玄幻],天骄战纪,2274
[都市生活],最强狂兵,2018
[东方玄幻],逆天邪神,1498
[东方玄幻],一剑独尊,1217
[星际争霸],辐射信仰,1197
[穿越历史],大明春色,1163
[东方玄幻],至尊邪神,1137
[架空历史],楚臣,1119
[星际争霸],踏星,1074
[架空历史],山海横流,1038
[东方玄幻],地府本纪,1015
[西方奇幻],骑士征程,964
[都市异能],女总裁的上门狂婿,777
[都市生活],全音阶狂潮,758
[都市异能],我要做阎罗,573
[都市生活],市井之徒,539
[架空历史],碧海风云之谋定天下,520
[都市异能],都市妙手医尊,484
[东方玄幻],狂暴逆袭,479
[进化变异],星辰之主,459
[都市生活],点道为止,431
[东方玄幻],吞海,400
[都市异能],恶魔出山,397
[架空历史],锦衣春秋,391
[东方玄幻],剑骨,330
[奇幻修真],天刑纪,310
[末世危机],末世正能量,280
[东方玄幻],一世独尊,275
[新派武侠],墨伐,264
[东方玄幻],不死邪神,260
[奇幻修真],逐仙鉴,257
[都市异能],开个诊所来修仙,242
[异世大陆],罗克伯爵,230
[奇幻修真],偷香高手,228
[原生幻想],我们转世者不修仙,220
[东方玄幻],帝道独尊,215
[王朝争霸],秋风起又剑气至,213
[奇幻修真],平天策,211
[都市异能],绝命毒尸,199
[东方玄幻],元尊,187
[传统武侠],唐侠,185
[东方玄幻],圣武星辰,184
[现代修真],狱血道尊,179
[架空历史],大周王侯,164
[进化变异],流浪之城,161
[异世大陆],九转星陨诀,152
