类别,书名,月票数
[古典仙侠],剑来,18773
[东方玄幻],万世为王,15885
[都市生活],最强狂兵,6584
[奇幻修真],血染长生,5375
[奇幻修真],焚天路,4781
[异世大陆],罗克伯爵,4548
[架空历史],碧海风云之谋定天下,2964
[星际争霸],辐射信仰,2637
[东方玄幻],一剑独尊,2587
[都市生活],重生荣耀时代,2583
[都市生活],医流武神,2211
[架空历史],长宁帝军,2200
[东方玄幻],逆天邪神,1864
[架空历史],楚臣,1558
[东方玄幻],天骄战纪,1482
[星际争霸],踏星,1359
[东方玄幻],至尊邪神,1342
[都市生活],市井之徒,1309
[奇幻修真],天刑纪,1261
[传统武侠],大华恩仇引,1080
[新派武侠],大侠萧金衍,1014
[传统武侠],踏剑歌,841
[都市异能],我要做阎罗,635
[都市重生],神级奶爸,601
[进化变异],星辰之主,573
[都市异能],都市妙手医尊,508
[东方玄幻],万维,490
[都市生活],大刁民,472
[东方玄幻],狂暴逆袭,434
[古典仙侠],人间最得意,432
[架空历史],锦衣春秋,432
[都市异能],开个诊所来修仙,420
[古典仙侠],一剑朝天,343
[东方玄幻],元尊,339
[穿越历史],大明春色,337
[东方玄幻],一世独尊,334
[都市生活],医等狂兵,327
[都市生活],全音阶狂潮,325
[现代修真],狱血道尊,315
[科技时代],概率之外,282
[奇幻修真],偷香高手,258
[奇幻修真],平天策,249
[都市异能],绝命毒尸,237
[都市重生],重生之奶爸医圣,215
[奇幻修真],一剑倾国,214
[西方奇幻],骑士征程,201
[都市异能],初生之主,196
[都市生活],点道为止,191
[职场商战],无耻之徒,188
[都市生活],都市超级医生,185
[异世大陆],九转星陨诀,184
[东方玄幻],剑骨,180
[架空历史],大周王侯,166
[新派武侠],墨伐,164
[末世危机],末日赘婿,160
[都市重生],逆流青春年代,146
[东方玄幻],剑道通神,142
[东方玄幻],吞海,139
[奇幻修真],我是半妖,138
