类别,书名,月票数
[东方玄幻],逆天邪神,19147
[古典仙侠],剑来,13818
[架空历史],长宁帝军,10425
[都市生活],大国名厨,8774
[都市生活],医流武神,8284
[都市异能],我要做阎罗,8043
[古典仙侠],仗剑问仙,6423
[东方玄幻],帝道独尊,6277
[都市生活],最强狂兵,6232
[东方玄幻],帝霸天下,5290
[穿越历史],三国之最强召唤,2990
[架空历史],碧海风云之谋定天下,2745
[古典仙侠],一剑朝天,2443
[东方玄幻],一剑独尊,2339
[王朝争霸],万道仙师,2250
[异世大陆],决不能怂,2119
[异世大陆],我欲断天,2103
[东方玄幻],天骄战纪,2036
[古典仙侠],长风一梦入轮回,2032
[星际争霸],踏星,1930
[都市重生],重生之都市魔尊,1715
[架空历史],楚臣,1636
[都市生活],全音阶狂潮,1046
[东方玄幻],至尊邪神,984
[都市异能],临界血线,897
[西方奇幻],骑士征程,753
[历史传记],盛唐纵横,626
[东方玄幻],剑骨,611
[都市生活],圣手侠医,560
[异世大陆],万象天劫,529
[架空历史],山海横流,508
[穿越历史],武唐第一佞臣,468
[都市生活],市井之徒,440
[东方玄幻],妖界之门,434
[古典仙侠],无敌混沌钟,374
[进化变异],星辰之主,373
[新派武侠],江湖是怎么没的,346
[都市重生],重生在90年代,337
[架空历史],大明辅君,326
[奇幻修真],修真大福星,307
[古典仙侠],人间最得意,300
[都市异能],世界末的镇魂歌,284
[东方玄幻],帝星荣耀,280
[异世大陆],一贱诛神,279
[古典仙侠],浑天记,271
[东方玄幻],西域降魔记,268
[异世大陆],灵主,266
[东方玄幻],神封万界,257
[异世大陆],星空缔造者,255
[古典仙侠],十方乾坤,247
[推理悬念],尘案集,245
[东方玄幻],狂暴逆袭,238
[奇幻修真],偷香高手,229
[东方玄幻],江山烟雨录,228
[王朝争霸],噬心魔种,227
[新派武侠],寻龙迷踪,225
[异世大陆],揽天,219
[灵异神怪],离魂录,207
[古典仙侠],火炼成仙,206
