类别,书名,月票数
[古典仙侠],剑来,24466
[架空历史],长宁帝军,19917
[都市生活],医流武神,15266
[东方玄幻],帝道独尊,13198
[王朝争霸],万道仙师,9657
[古典仙侠],一剑朝天,6555
[东方玄幻],一世独尊,6331
[东方玄幻],猎天争锋,6151
[穿越历史],三国之最强召唤,5953
[都市生活],最强狂兵,5800
[都市异能],修仙十万年,5064
[东方玄幻],天骄战纪,4362
[古典仙侠],仗剑问仙,4339
[都市重生],重生之都市魔尊,4292
[职场商战],深漂的光芒人生,4013
[异世大陆],我欲断天,3982
[东方玄幻],一剑独尊,3875
[奇幻修真],冒牌修仙者,3718
[异世大陆],北寒剑帝,3707
[都市异能],临界血线,3066
[星际争霸],踏星,2603
[东方玄幻],逆天邪神,2558
[架空历史],楚臣,2499
[西方奇幻],骑士征程,2342
[东方玄幻],盖世,2105
[东方玄幻],废柴修成仙,1780
[古典仙侠],昆仑剑歌,1712
[古典仙侠],火炼成仙,1556
[东方玄幻],至尊邪神,1267
[都市生活],大刁民,1109
[东方玄幻],他从天上来,1005
[架空历史],山海横流,829
[进化变异],星辰之主,785
[古典仙侠],浑天记,757
[都市异能],都市妙手医尊,752
[东方玄幻],狂暴逆袭,746
[都市生活],市井之徒,651
[异世大陆],逆鳞决,639
[东方玄幻],剑骨,627
[进化变异],流浪之城,586
[都市异能],世界末的镇魂歌,530
[奇幻修真],平天策,519
[奇幻修真],一剑长安,480
[新派武侠],万里苍穹万里剑,474
[科技时代],超维进化,455
[奇幻修真],万古邪仙,444
[异世大陆],天道天骄,444
[古典仙侠],诛魇,438
[古典仙侠],长风一梦入轮回,429
[异世大陆],万象天劫,415
[古典仙侠],万古仙帝,412
[古典仙侠],通天图鉴,405
[游戏小说],巅峰时刻,390
[都市生活],点道为止,382
[东方玄幻],圣武星辰,368
[推理悬念],尘案集,366
[奇幻修真],天刑纪,362
[架空历史],三国之老师在此,361
[都市生活],猎户出山,357
