类别,书名,月票数
[都市生活],最强狂兵,21451
[东方玄幻],剑骨,17938
[架空历史],大明辅君,12394
[架空历史],长宁帝军,9417
[古典仙侠],剑来,8607
[东方玄幻],帝星荣耀,6574
[都市生活],大国名厨,6282
[东方玄幻],逆天邪神,5889
[奇妙物语],金币即是正义,5616
[都市生活],医流武神,5547
[奇幻修真],黑狗修仙传,5447
[古典仙侠],一剑朝天,4471
[现代修真],证道记,3132
[古典仙侠],长风一梦入轮回,2816
[都市异能],临界血线,2707
[王朝争霸],万道仙师,2657
[架空历史],碧海风云之谋定天下,2522
[东方玄幻],帝霸天下,2494
[异世大陆],决不能怂,2489
[穿越历史],三国之最强召唤,2320
[东方玄幻],一剑独尊,1935
[古典仙侠],人间最得意,1345
[古典仙侠],仗剑问仙,1329
[东方玄幻],天骄战纪,1309
[古典仙侠],九劫逆命,1233
[职场商战],深漂的光芒人生,1202
[游戏小说],英雄联盟之符文师传说,1173
[架空历史],楚臣,1022
[都市异能],人间不值得,1020
[东方玄幻],至尊邪神,820
[都市异能],世界末的镇魂歌,778
[西方奇幻],骑士征程,759
[星际争霸],踏星,708
[都市重生],重生之都市魔尊,653
[都市异能],作者大大求放过,640
[异世大陆],异界修心,618
[异术超能],一击神明,600
[都市重生],重生在90年代,595
[异世大陆],我欲断天,592
[奇幻修真],混元天书,584
[东方玄幻],妖界之门,535
[都市异能],我要做阎罗,529
[东方玄幻],西域降魔记,512
[都市生活],全音阶狂潮,504
[穿越历史],大明春色,502
[架空历史],山海横流,479
[东方玄幻],雨墨修仙传,476
[古典仙侠],侍劫,468
[推理悬念],尘案集,465
[奇幻修真],修真大福星,424
[古典仙侠],永生才能不灭,403
[进化变异],星辰之主,371
[王朝争霸],噬心魔种,351
[都市重生],梦回二十一年前,321
[奇幻修真],偷香高手,307
[都市生活],美女总裁的特战兵王,277
[都市异能],都市超级高手,266
[新派武侠],江湖是怎么没的,258
[东方玄幻],一世独尊,246
