类别,书名,月票数
[都市异能],我要做阎罗,21269
[古典仙侠],剑来,19195
[架空历史],长宁帝军,6375
[东方玄幻],一世独尊,4895
[都市生活],医品宗师,4428
[东方玄幻],剑骨,3099
[都市生活],医流武神,2851
[传统武侠],大华恩仇引,2433
[新派武侠],大侠萧金衍,2318
[东方玄幻],一剑独尊,2246
[都市生活],最强狂兵,1945
[穿越历史],宰执天下,1584
[东方玄幻],天骄战纪,1441
[东方玄幻],儒武争锋,1384
[东方玄幻],逆天邪神,1332
[都市生活],大刁民,1325
[架空历史],楚臣,1301
[东方玄幻],至尊邪神,1182
[王朝争霸],盗天之路,1015
[东方玄幻],万世为王,856
[星际争霸],踏星,795
[进化变异],星辰之主,690
[穿越历史],大明春色,583
[东方玄幻],吞海,557
[东方玄幻],狂暴逆袭,556
[都市生活],市井之徒,491
[都市重生],神级奶爸,477
[都市生活],匠心,376
[都市异能],开个诊所来修仙,375
[都市生活],点道为止,288
[都市异能],绝命毒尸,287
[奇幻修真],偷香高手,279
[东方玄幻],雪中悍刀行,276
[异世大陆],菜刀通天,275
[奇幻修真],一剑倾国,244
[都市生活],全音阶狂潮,225
[架空历史],混在古代的厨子,222
[末世危机],末日赘婿,215
[异世大陆],九转星陨诀,209
[王朝争霸],万道仙师,202
[西方奇幻],骑士征程,197
[奇幻修真],天刑纪,191
[古典仙侠],人间最得意,182
[架空历史],碧海风云之谋定天下,162
[职场商战],无耻之徒,161
[都市重生],逆流青春年代,159
[古典仙侠],太平客栈,154
[都市生活],医等狂兵,147
[东方玄幻],元尊,145
[架空历史],宋疆,128
[末世危机],血夜国度,121
[古典仙侠],剑起兮,114
[东方玄幻],圣武星辰,111
[都市生活],下山虎,110
[进化变异],流浪之城,108
[末世危机],迷失蔚蓝,105
[东方玄幻],帝道独尊,102
[架空历史],明末求生记,101
