类别,书名,月票数
[古典仙侠],剑来,33223
[东方玄幻],一剑独尊,23150
[架空历史],长宁帝军,13390
[星际争霸],辐射信仰,8804
[东方玄幻],剑骨,8783
[东方玄幻],帝道独尊,8692
[末世危机],末世正能量,7909
[东方玄幻],逆天邪神,7556
[古典仙侠],仗剑问仙,6998
[都市异能],临界血线,5805
[古典仙侠],一剑朝天,3273
[架空历史],山海横流,2789
[东方玄幻],天骄战纪,2760
[都市生活],大刁民,2519
[都市异能],我要做阎罗,2245
[东方玄幻],帝临鸿蒙,2028
[都市异能],都市妙手医尊,1983
[都市生活],医流武神,1956
[东方玄幻],至尊邪神,1692
[架空历史],楚臣,1599
[星际争霸],踏星,1457
[东方玄幻],地府本纪,1400
[都市异能],都市超级高手,1129
[都市生活],最强狂兵,1126
[都市异能],开个诊所来修仙,740
[奇幻修真],修仙超级英雄,715
[东方玄幻],狂暴逆袭,681
[都市异能],恶魔出山,654
[东方玄幻],九重武神,608
[架空历史],锦衣春秋,559
[架空历史],宋疆,548
[东方玄幻],一世独尊,534
[王朝争霸],秋风起又剑气至,525
[都市生活],全音阶狂潮,520
[进化变异],星辰之主,515
[西方奇幻],骑士征程,513
[古典仙侠],十方乾坤,500
[异世大陆],凡世逆流,488
[奇幻修真],逐仙鉴,481
[东方玄幻],轮回之仙帝归来,469
[现代修真],仙道九绝,454
[东方玄幻],他从天上来,440
[奇幻修真],天刑纪,431
[穿越历史],大明春色,402
[穿越历史],明匪,393
[都市重生],神级奶爸,386
[都市生活],匠心,364
[进化变异],流浪之城,359
[都市异能],初生之主,339
[都市生活],市井之徒,330
[东方玄幻],盖世,318
[奇幻修真],偷香高手,294
[架空历史],碧海风云之谋定天下,260
[东方玄幻],武逆废材,256
[进化变异],最终使徒,255
[都市生活],暗网行动,252
[异世大陆],九转星陨诀,244
[末世危机],末日赘婿,240
