类别,书名,月票数,时间
[东方玄幻],一世独尊,29812,2019
[古典仙侠],剑来,25487,2019
[都市异能],开个诊所来修仙,8734,2019
[都市生活],医流武神,8601,2019
[新派武侠],大侠萧金衍,7789,2019
[都市生活],医品宗师,6279,2019
[都市生活],最强狂兵,5803,2019
[奇幻修真],血染长生,5078,2019
[都市重生],神级奶爸,4363,2019
[东方玄幻],一剑独尊,4324,2019
[架空历史],长宁帝军,4044,2019
[东方玄幻],逆天邪神,2970,2019
[架空历史],楚臣,2817,2019
[都市异能],我要做阎罗,2530,2019
[东方玄幻],万世为王,2036,2019
[东方玄幻],剑骨,1670,2019
[东方玄幻],天骄战纪,1607,2019
[奇幻修真],天刑纪,1476,2019
[东方玄幻],至尊邪神,1447,2019
[王朝争霸],盗天之路,1280,2019
[异世大陆],永夜君王,1138,2019
[都市重生],重生之奶爸医圣,962,2019
[传统武侠],大华恩仇引,716,2019
[东方玄幻],轮回剑主,660,2019
[星际争霸],踏星,516,2019
[东方玄幻],狂暴逆袭,497,2019
[奇幻修真],偷香高手,446,2019
[都市生活],匠心,435,2019
[都市生活],全音阶狂潮,431,2019
[都市生活],大刁民,380,2019
[都市生活],下山虎,356,2019
[都市重生],逆流青春年代,300,2019
[异世大陆],菜刀通天,294,2019
[穿越历史],大明春色,281,2019
[古典仙侠],人间最得意,273,2019
[都市异能],绝命毒尸,250,2019
[古典仙侠],十方乾坤,233,2019
[都市异能],全能医王,229,2019
[西方奇幻],骑士征程,205,2019
[都市生活],点道为止,198,2019
[东方玄幻],圣武星辰,176,2019
[都市生活],医等狂兵,176,2019
[末世危机],末日赘婿,174,2019
[东方玄幻],元尊,170,2019
[穿越历史],宰执天下,161,2019
[东方玄幻],帝道独尊,147,2019
[都市异能],我要做阎罗,21269,2019
[古典仙侠],剑来,19195,2019
[架空历史],长宁帝军,6375,2019
[东方玄幻],一世独尊,4895,2019
[都市生活],医品宗师,4428,2019
[东方玄幻],剑骨,3099,2019
[都市生活],医流武神,2851,2019
[传统武侠],大华恩仇引,2433,2019
[新派武侠],大侠萧金衍,2318,2019
[东方玄幻],一剑独尊,2246,2019
[都市生活],最强狂兵,1945,2019
[穿越历史],宰执天下,1584,2019
[东方玄幻],天骄战纪,1441,2019
[东方玄幻],儒武争锋,1384,2019
[东方玄幻],逆天邪神,1332,2019
[都市生活],大刁民,1325,2019
[架空历史],楚臣,1301,2019
[东方玄幻],至尊邪神,1182,2019
[王朝争霸],盗天之路,1015,2019
[东方玄幻],万世为王,856,2019
[星际争霸],踏星,795,2019
[进化变异],星辰之主,690,2019
[穿越历史],大明春色,583,2019
[东方玄幻],吞海,557,2019
[东方玄幻],狂暴逆袭,556,2019
[都市生活],市井之徒,491,2019
[都市重生],神级奶爸,477,2019
[都市生活],匠心,376,2019
[都市异能],开个诊所来修仙,375,2019
[都市生活],点道为止,288,2019
[都市异能],绝命毒尸,287,2019
[奇幻修真],偷香高手,279,2019
[东方玄幻],雪中悍刀行,276,2019
[异世大陆],菜刀通天,275,2019
[奇幻修真],一剑倾国,244,2019
[都市生活],全音阶狂潮,225,2019
