类别,书名,月票数
[都市异能],逆鳞,22217
[都市生活],近身狂兵,12763
[都市异能],纯禽记者,11649
[东方玄幻],御天神帝,5494
[奇幻修真],剑王朝,4178
[东方玄幻],诸天谣,3368
[奇幻修真],天刑纪,3119
[东方玄幻],大荒蛮神,2843
[异世大陆],永夜君王,1811
[科技时代],星际传奇,1353
[都市生活],最强狂兵,1313
[东方玄幻],雪中悍刀行,1250
[东方玄幻],逆天邪神,971
[穿越历史],十国千娇,848
[奇幻修真],仙路至尊,829
[东方玄幻],九阳踏天,778
[东方玄幻],养道,766
[都市生活],超品战兵,633
[都市生活],绝品保镖,480
[都市生活],终极教师,302
[东方玄幻],符皇,286
[动漫衍生],火影之血雾迷情,265
[穿越历史],宰执天下,262
[都市生活],全音阶狂潮,258
[古典仙侠],仙路争锋,243
[架空历史],国色生枭,228
[都市生活],透视高手,218
[古典仙侠],戮仙,148
[西方奇幻],狼血神探,126
[都市异能],超品神瞳,121
[东方玄幻],踏天争仙,119
[架空历史],大明1617,107
[进化变异],末日边缘,99
[都市生活],特种神医,95
[东方玄幻],帝临鸿蒙,92
[奇幻修真],偷香高手,82
[东方玄幻],十方神王,79
[东方玄幻],丹武九重天,78
[穿梭时空],无尽破碎,76
[东方玄幻],仙武同修,73
[古典仙侠],妖焰通天,66
[东方玄幻],九星杀神,53
[东方玄幻],盖世帝尊,52
[虚拟网游],网游之梦幻法师,49
[穿越历史],锦衣王侯,48
[新派武侠],凉城客栈,48
[架空历史],争龙道,44
[东方玄幻],无极剑神,41
[东方玄幻],斗战主宰,39
[东方玄幻],霸天雷神,38
[东方玄幻],焚天剑尊,35
