类别,书名,月票数
[东方玄幻],大荒蛮神,6909
[东方玄幻],御天神帝,6110
[奇幻修真],剑王朝,6075
[奇幻修真],天刑纪,3966
[古典仙侠],妖焰通天,2685
[都市生活],最强狂兵,2620
[科技时代],星际传奇,2548
[东方玄幻],九阳踏天,2523
[东方玄幻],雪中悍刀行,2519
[东方玄幻],诸天谣,2413
[奇幻修真],仙路至尊,1665
[异世大陆],永夜君王,1383
[都市生活],近身狂兵,920
[东方玄幻],逆天邪神,883
[东方玄幻],焚天剑尊,802
[都市生活],特种神医,614
[都市生活],终极教师,605
[东方玄幻],十方神王,515
[穿越历史],十国千娇,419
[都市异能],纯禽记者,394
[都市异能],低调术士,282
[都市生活],透视高手,274
[架空历史],大明1617,273
[穿越历史],宰执天下,255
[古典仙侠],戮仙,247
[古典仙侠],仙路争锋,245
[东方玄幻],符皇,229
[都市生活],绝品保镖,170
[进化变异],末日边缘,150
[架空历史],国色生枭,145
[东方玄幻],霸天雷神,142
[穿越历史],三国之最风流,138
[西方奇幻],狼血神探,122
[都市异能],超品神瞳,121
[虚拟网游],网游之我是终极大BOSS,118
[东方玄幻],斗战主宰,107
[东方玄幻],踏天争仙,101
[东方玄幻],九星杀神,94
[东方玄幻],仙武同修,92
[东方玄幻],九霄神王,89
[都市生活],全音阶狂潮,84
[穿梭时空],无尽破碎,70
[东方玄幻],不死战皇,69
[东方玄幻],无极剑神,63
[穿越历史],锦衣王侯,55
[东方玄幻],不败战神,50
[东方玄幻],帝临鸿蒙,43
[虚拟网游],网游之梦幻法师,42
[奇幻修真],偷香高手,40
[东方玄幻],丹武九重天,39
