类别,书名,月票数
[东方玄幻],御天神帝,6859
[东方玄幻],大荒蛮神,5212
[都市生活],透视高手,4628
[都市异能],纯禽记者,4381
[奇幻修真],剑王朝,4127
[古典仙侠],妖焰通天,2295
[都市生活],最强狂兵,1888
[奇幻修真],仙路至尊,1776
[东方玄幻],九阳踏天,1496
[异世大陆],永夜君王,1460
[东方玄幻],雪中悍刀行,1337
[都市生活],特种神医,1175
[都市异能],低调术士,910
[东方玄幻],逆天邪神,887
[奇幻修真],天刑纪,738
[都市生活],绝品保镖,624
[穿越历史],十国千娇,574
[都市生活],终极教师,564
[古典仙侠],仙路争锋,452
[东方玄幻],符皇,439
[科技时代],星际传奇,433
[东方玄幻],不败战神,416
[古典仙侠],戮仙,384
[东方玄幻],踏天争仙,360
[穿越历史],三国之最风流,222
[穿越历史],宰执天下,215
[架空历史],国色生枭,194
[动漫衍生],火影之血雾迷情,171
[东方玄幻],仙武同修,119
[都市异能],超品神瞳,113
[新派武侠],凉城客栈,109
[东方玄幻],十方神王,107
[虚拟网游],网游之我是终极大BOSS,101
[东方玄幻],霸天雷神,82
[科技时代],超能纪元,70
[东方玄幻],丹武九重天,69
[西方奇幻],狼血神探,68
[进化变异],末日边缘,61
[东方玄幻],盖世帝尊,60
[虚拟网游],网游之梦幻法师,56
[都市生活],全音阶狂潮,52
[东方玄幻],九霄神王,50
[东方玄幻],九星杀神,50
[东方玄幻],无极剑神,49
[穿梭时空],无尽破碎,47
