类别,书名,月票数
[穿越历史],十国千娇,6046
[奇幻修真],剑王朝,4995
[东方玄幻],丹武九重天,4261
[东方玄幻],御天神帝,3771
[异世大陆],永夜君王,3119
[奇幻修真],仙路至尊,2293
[东方玄幻],九阳踏天,2159
[东方玄幻],大荒蛮神,2084
[古典仙侠],仙路争锋,2003
[东方玄幻],踏天争仙,1898
[奇幻修真],无仙,1826
[东方玄幻],符皇,1204
[东方玄幻],问镜,1142
[东方玄幻],雪中悍刀行,1056
[东方玄幻],逆天邪神,844
[异世大陆],法逆蛮荒,816
[都市生活],终极教师,811
[都市生活],全音阶狂潮,789
[东方玄幻],不败战神,376
[新派武侠],凉城客栈,337
[动漫衍生],火影之血雾迷情,310
[架空历史],国色生枭,300
[古典仙侠],戮仙,286
[东方玄幻],万法神典,279
[东方玄幻],道印,244
[都市重生],重生之辉煌一世,204
[都市生活],最强狂兵,196
[东方玄幻],霸天雷神,186
[穿越历史],宰执天下,186
[异世大陆],傲世九界,181
[都市异能],低调术士,163
[东方玄幻],乱世狂神,150
[灵异神怪],棺山夜行,136
[都市生活],特种神医,129
[穿越历史],三国之最风流,124
[江湖情仇],护龙大高手,116
[进化变异],末日边缘,113
[都市生活],赌徒,110
[穿梭时空],死亡名单,103
[穿梭时空],无尽破碎,80
[末世危机],末世危城,77
[穿越历史],三国之鬼神无双,73
[末世危机],末世黑暗纪,73
