类别,书名,月票数
[都市异能],逆鳞,16366
[古典仙侠],仙路争锋,6686
[东方玄幻],丹武九重天,6272
[东方玄幻],大荒蛮神,5881
[东方玄幻],诸天谣,4821
[东方玄幻],御天神帝,4054
[奇幻修真],剑王朝,3848
[异世大陆],永夜君王,3763
[奇幻修真],天刑纪,3421
[东方玄幻],盖世帝尊,3166
[东方玄幻],斗战主宰,2763
[东方玄幻],雪中悍刀行,1752
[都市生活],近身狂兵,1643
[都市异能],纯禽记者,1274
[东方玄幻],养道,1233
[都市生活],最强狂兵,1183
[古典仙侠],戮仙,883
[奇幻修真],仙路至尊,745
[东方玄幻],九阳踏天,676
[穿越历史],十国千娇,548
[东方玄幻],逆天邪神,539
[东方玄幻],龙符,495
[东方玄幻],符皇,425
[东方玄幻],仙武同修,289
[都市生活],全音阶狂潮,207
[动漫衍生],火影之血雾迷情,202
[都市生活],超品战兵,197
[架空历史],国色生枭,188
[穿越历史],宰执天下,168
[都市异能],超品神瞳,135
[奇幻修真],偷香高手,134
[架空历史],大明1617,131
[科技时代],星际传奇,123
[穿越历史],锦衣王侯,105
[都市生活],透视高手,97
[进化变异],末日边缘,92
[都市生活],特种神医,92
[东方玄幻],十方神王,90
[西方奇幻],狼血神探,71
[东方玄幻],踏天争仙,71
[虚拟网游],网游之梦幻法师,65
[东方玄幻],无极剑神,64
[东方玄幻],帝临鸿蒙,62
[都市生活],绝品保镖,60
[穿梭时空],无尽破碎,57
[东方玄幻],九星杀神,56
[科技时代],超能纪元,52
[都市生活],天字号保镖,36
[都市生活],终极教师,30
