类别,书名,月票数
[东方玄幻],大荒蛮神,6451
[东方玄幻],九阳踏天,4702
[东方玄幻],丹武九重天,3924
[东方玄幻],龙血武神,3080
[都市异能],纯禽记者,2475
[奇幻修真],剑王朝,2226
[古典仙侠],仙侠世界,1775
[穿越历史],十国千娇,1700
[东方玄幻],问镜,1544
[东方玄幻],诛天镇魔,1395
[异世大陆],永夜君王,1131
[古典仙侠],妖焰通天,1128
[奇幻修真],仙医鬼卜,974
[古典仙侠],仙路争锋,821
[东方玄幻],雪中悍刀行,730
[都市生活],终极教师,696
[奇幻修真],仙路至尊,640
[都市生活],透视高手,547
[东方玄幻],符皇,543
[吸血传奇],血龙骄雄,515
[东方玄幻],逆天邪神,426
[都市生活],绝品保镖,422
[古典仙侠],戮仙,416
[架空历史],国色生枭,311
[东方玄幻],不败战神,287
[都市重生],重生之辉煌一世,258
[新派武侠],凉城客栈,218
[穿越历史],宰执天下,217
[西方奇幻],狼血神探,209
[东方玄幻],万法神典,203
[都市生活],特种神医,196
[东方玄幻],御天神帝,175
[东方玄幻],道印,174
[东方玄幻],极品剑师,172
[都市异能],低调术士,160
[进化变异],末日边缘,139
[都市生活],最强狂兵,128
[东方玄幻],霸天雷神,122
[都市生活],大刁民,122
[东方玄幻],拳霸诸天,119
[奇幻修真],神道一途,115
[都市生活],赌徒,105
[都市生活],全音阶狂潮,92
[都市异能],超品神瞳,89
[异世大陆],一世至尊,88
