类别,书名,月票数,时间
[东方玄幻],雪中悍刀行,866,2015
[穿梭时空],无尽破碎,685,2015
[都市生活],终极狂兵,660,2015
[穿越历史],宰执天下,406,2015
[东方玄幻],不败战神,393,2015
[穿梭时空],升级成仙,377,2015
[奇幻修真],霸道绝色,351,2015
[古典仙侠],戮仙,275,2015
[进化变异],末日边缘,270,2015
[末世危机],末世黑暗纪,269,2015
[架空历史],国色生枭,249,2015
[东方玄幻],道印,239,2015
[灵异神怪],棺山夜行,193,2015
[异世大陆],无上血尊,178,2015
[科技时代],数字传奇,171,2015
[东方玄幻],霸天雷神,169,2015
[东方玄幻],无极剑神,169,2015
[东方玄幻],星河大帝,168,2015
[进化变异],灾厄纪元,161,2015
[奇幻修真],仙路至尊,146,2015
[东方玄幻],乱世狂神,144,2015
[架空历史],金牌小书童,139,2015
[都市重生],重生之辉煌一世,139,2015
[异世大陆],无上霸天,139,2015
[都市生活],特种神医,131,2015
[东方玄幻],逆天邪君,127,2015
[异世大陆],天道天骄,126,2015
[异世大陆],灭世道劫,121,2015
[穿梭时空],死亡名单,118,2015
[异世大陆],踏天狂神,117,2015
[都市生活],大神的妖孽人生,116,2015
[异世大陆],图腾大陆,114,2015
[异世大陆],永夜君王,43771,2015
[奇幻修真],剑王朝,3924,2015
[古典仙侠],仙路争锋,3079,2015
[东方玄幻],大荒蛮神,2933,2015
[东方玄幻],踏天争仙,2476,2015
[东方玄幻],九阳踏天,2250,2015
[东方玄幻],问镜,2060,2015
[奇幻修真],无仙,1947,2015
[穿越历史],十国千娇,1781,2015
[东方玄幻],雪中悍刀行,1565,2015
[东方玄幻],丹武九重天,1264,2015
[都市生活],终极教师,1061,2015
[东方玄幻],道印,831,2015
[都市生活],最强狂兵,829,2015
[东方玄幻],符皇,819,2015
[都市生活],终极狂兵,812,2015
[东方玄幻],逆天邪神,806,2015
[东方玄幻],不败战神,369,2015
[奇幻修真],仙路至尊,363,2015
[东方玄幻],仙武同修,328,2015
[异世大陆],绝世斗魂,319,2015
[架空历史],国色生枭,296,2015
[东方玄幻],乱世狂神,280,2015
[穿越历史],宰执天下,275,2015
[西方奇幻],天神下凡,259,2015
[穿梭时空],升级成仙,244,2015
[古典仙侠],戮仙,231,2015
[东方玄幻],霸天雷神,201,2015
[东方玄幻],神武记,201,2015
[进化变异],末日边缘,166,2015
[都市生活],特种神医,151,2015
[动漫衍生],火影之血雾迷情,151,2015
[异世大陆],傲世九界,148,2015
[末世危机],末世黑暗纪,144,2015
[穿越历史],三国之最风流,142,2015
[穿梭时空],无尽破碎,120,2015
[穿梭时空],死亡名单,113,2015
[都市异能],超级无敌召唤空间,106,2015
[新派武侠],凉城客栈,94,2015
[异世大陆],武道玄皇,94,2015
[都市异能],低调术士,91,2015
[进化变异],斗神武装,86,2015
[古典仙侠],苍天剑歌,86,2015
[穿越历史],十国千娇,6046,2015
[奇幻修真],剑王朝,4995,2015
[东方玄幻],丹武九重天,4261,2015
[东方玄幻],御天神帝,3771,2015
[异世大陆],永夜君王,3119,2015
[奇幻修真],仙路至尊,2293,2015
[东方玄幻],九阳踏天,2159,2015
[东方玄幻],大荒蛮神,2084,2015
[古典仙侠],仙路争锋,2003,2015
[东方玄幻],踏天争仙,1898,2015
[奇幻修真],无仙,1826,2015
[东方玄幻],符皇,1204,2015
[东方玄幻],问镜,1142,2015
[东方玄幻],雪中悍刀行,1056,2015
[东方玄幻],逆天邪神,844,2015
[异世大陆],法逆蛮荒,816,2015
[都市生活],终极教师,811,2015
[都市生活],全音阶狂潮,789,2015
[东方玄幻],不败战神,376,2015
[新派武侠],凉城客栈,337,2015
[动漫衍生],火影之血雾迷情,310,2015
[架空历史],国色生枭,300,2015
[古典仙侠],戮仙,286,2015
[东方玄幻],万法神典,279,2015
[东方玄幻],道印,244,2015
[都市重生],重生之辉煌一世,204,2015
[都市生活],最强狂兵,196,2015
[东方玄幻],霸天雷神,186,2015
[穿越历史],宰执天下,186,2015
[异世大陆],傲世九界,181,2015
[都市异能],低调术士,163,2015
[东方玄幻],乱世狂神,150,2015
[灵异神怪],棺山夜行,136,2015
[都市生活],特种神医,129,2015
[穿越历史],三国之最风流,124,2015
[江湖情仇],护龙大高手,116,2015
[进化变异],末日边缘,113,2015
[都市生活],赌徒,110,2015
[穿梭时空],死亡名单,103,2015
[穿梭时空],无尽破碎,80,2015
[末世危机],末世危城,77,2015
[穿越历史],三国之鬼神无双,73,2015
[末世危机],末世黑暗纪,73,2015
[东方玄幻],问镜,31145,2015
[东方玄幻],大荒蛮神,27121,2015
[奇幻修真],剑王朝,3884,2015
[东方玄幻],丹武九重天,2840,2015
[东方玄幻],符皇,2498,2015
[东方玄幻],九阳踏天,2186,2015
[古典仙侠],仙路争锋,2173,2015
[奇幻修真],仙路至尊,2169,2015
[奇幻修真],无仙,2096,2015
[东方玄幻],雪中悍刀行,2025,2015
[异世大陆],永夜君王,1699,2015
[古典仙侠],戮仙,1155,2015
[异世大陆],法逆蛮荒,1083,2015
[都市生活],终极教师,1019,2015
[东方玄幻],诛天镇魔,901,2015
[东方玄幻],龙血武神,881,2015
[穿越历史],十国千娇,844,2015
[东方玄幻],逆天邪神,578,2015
[东方玄幻],不败战神,484,2015
[奇幻修真],偷香高手,473,2015
[都市重生],重生之辉煌一世,282,2015
[都市生活],最强狂兵,266,2015
[古典仙侠],苍天剑歌,250,2015
[东方玄幻],龙象神皇,244,2015
[架空历史],国色生枭,228,2015
[灵异神怪],龙楼宝殿,226,2015
[东方玄幻],踏天争仙,215,2015
[穿越历史],宰执天下,207,2015
[都市生活],全音阶狂潮,205,2015
[东方玄幻],万法神典,203,2015
[灵异神怪],棺山夜行,189,2015
[东方玄幻],霸天雷神,179,2015
[东方玄幻],道印,161,2015
[东方玄幻],崩仙逆道,160,2015
[异世大陆],傲世九界,159,2015
[东方玄幻],御天神帝,157,2015
[穿越历史],三国之最风流,141,2015
[都市生活],特种神医,139,2015
[星际争霸],亚图姆的陨落,137,2015
[东方玄幻],无极剑神,122,2015
[东方玄幻],仙裔魔途,118,2015
[奇幻修真],仙医鬼卜,114,2015
[都市生活],终极狼警,110,2015
[都市生活],极品兵王在都市,107,2015
[东方玄幻],大荒蛮神,6451,2015
[东方玄幻],九阳踏天,4702,2015
[东方玄幻],丹武九重天,3924,2015
[东方玄幻],龙血武神,3080,2015
[都市异能],纯禽记者,2475,2015
[奇幻修真],剑王朝,2226,2015
[古典仙侠],仙侠世界,1775,2015
[穿越历史],十国千娇,1700,2015
[东方玄幻],问镜,1544,2015
[东方玄幻],诛天镇魔,1395,2015
[异世大陆],永夜君王,1131,2015
[古典仙侠],妖焰通天,1128,2015
[奇幻修真],仙医鬼卜,974,2015
[古典仙侠],仙路争锋,821,2015
[东方玄幻],雪中悍刀行,730,2015
[都市生活],终极教师,696,2015
[奇幻修真],仙路至尊,640,2015
[都市生活],透视高手,547,2015
[东方玄幻],符皇,543,2015
[吸血传奇],血龙骄雄,515,2015
[东方玄幻],逆天邪神,426,2015
[都市生活],绝品保镖,422,2015
[古典仙侠],戮仙,416,2015
[架空历史],国色生枭,311,2015
[东方玄幻],不败战神,287,2015
[都市重生],重生之辉煌一世,258,2015
[新派武侠],凉城客栈,218,2015
[穿越历史],宰执天下,217,2015
[西方奇幻],狼血神探,209,2015
[东方玄幻],万法神典,203,2015
[都市生活],特种神医,196,2015
[东方玄幻],御天神帝,175,2015
[东方玄幻],道印,174,2015
[东方玄幻],极品剑师,172,2015
[都市异能],低调术士,160,2015
[进化变异],末日边缘,139,2015
[都市生活],最强狂兵,128,2015
[东方玄幻],霸天雷神,122,2015
[都市生活],大刁民,122,2015
[东方玄幻],拳霸诸天,119,2015
[奇幻修真],神道一途,115,2015
[都市生活],赌徒,105,2015
[都市生活],全音阶狂潮,92,2015
[都市异能],超品神瞳,89,2015
[异世大陆],一世至尊,88,2015
[东方玄幻],雪中悍刀行,27211,2015
[东方玄幻],逆天邪神,9473,2015
[奇幻修真],剑王朝,4071,2015
[东方玄幻],大荒蛮神,3246,2015
[东方玄幻],御天神帝,2918,2015
[都市生活],最强狂兵,2847,2015
[东方玄幻],丹武九重天,2708,2015
[异世大陆],永夜君王,2590,2015
[东方玄幻],九阳踏天,2170,2015
[都市异能],纯禽记者,1266,2015
[都市异能],低调术士,1183,2015
[都市生活],绝品保镖,1182,2015
[东方玄幻],符皇,1180,2015
[东方玄幻],十方神王,1150,2015
[奇幻修真],仙路至尊,1118,2015
[都市生活],终极教师,1117,2015
[穿越历史],十国千娇,1115,2015
[科技时代],星际传奇,938,2015
[穿越历史],宰执天下,523,2015
[都市生活],透视高手,363,2015
[古典仙侠],仙路争锋,340,2015
[东方玄幻],不败战神,318,2015
[古典仙侠],戮仙,306,2015
[都市生活],全音阶狂潮,273,2015
[东方玄幻],霸天雷神,183,2015
[架空历史],国色生枭,182,2015
[东方玄幻],帝临鸿蒙,166,2015
[西方奇幻],狼血神探,165,2015
[奇幻修真],偷香高手,165,2015
[东方玄幻],仙武同修,140,2015
[穿越历史],三国之最风流,136,2015
[都市异能],超品神瞳,133,2015
[虚拟网游],网游之梦幻法师,94,2015
[虚拟网游],网游之我是终极大BOSS,91,2015
[都市生活],特种神医,86,2015
[进化变异],末日边缘,70,2015
[东方玄幻],九星杀神,70,2015
[新派武侠],凉城客栈,68,2015
[穿梭时空],死亡名单,67,2015
[东方玄幻],踏天争仙,66,2015
[东方玄幻],无极剑神,65,2015
[东方玄幻],龙神决,61,2015
[都市异能],最强透视,59,2015
[东方玄幻],问镜,49,2015
[东方玄幻],御天神帝,6859,2015
[东方玄幻],大荒蛮神,5212,2015
[都市生活],透视高手,4628,2015
[都市异能],纯禽记者,4381,2015
[奇幻修真],剑王朝,4127,2015
[古典仙侠],妖焰通天,2295,2015
[都市生活],最强狂兵,1888,2015
[奇幻修真],仙路至尊,1776,2015
[东方玄幻],九阳踏天,1496,2015
[异世大陆],永夜君王,1460,2015
[东方玄幻],雪中悍刀行,1337,2015
[都市生活],特种神医,1175,2015
[都市异能],低调术士,910,2015
[东方玄幻],逆天邪神,887,2015
[奇幻修真],天刑纪,738,2015
[都市生活],绝品保镖,624,2015
[穿越历史],十国千娇,574,2015
[都市生活],终极教师,564,2015
[古典仙侠],仙路争锋,452,2015
[东方玄幻],符皇,439,2015
[科技时代],星际传奇,433,2015
[东方玄幻],不败战神,416,2015
[古典仙侠],戮仙,384,2015
[东方玄幻],踏天争仙,360,2015
[穿越历史],三国之最风流,222,2015
[穿越历史],宰执天下,215,2015
[架空历史],国色生枭,194,2015
[动漫衍生],火影之血雾迷情,171,2015
[东方玄幻],仙武同修,119,2015
[都市异能],超品神瞳,113,2015
[新派武侠],凉城客栈,109,2015
[东方玄幻],十方神王,107,2015
[虚拟网游],网游之我是终极大BOSS,101,2015
[东方玄幻],霸天雷神,82,2015
[科技时代],超能纪元,70,2015
[东方玄幻],丹武九重天,69,2015
[西方奇幻],狼血神探,68,2015
[进化变异],末日边缘,61,2015
[东方玄幻],盖世帝尊,60,2015
[虚拟网游],网游之梦幻法师,56,2015
[都市生活],全音阶狂潮,52,2015
[东方玄幻],九霄神王,50,2015
[东方玄幻],九星杀神,50,2015
[东方玄幻],无极剑神,49,2015
[穿梭时空],无尽破碎,47,2015
[东方玄幻],大荒蛮神,6909,2015
[东方玄幻],御天神帝,6110,2015
[奇幻修真],剑王朝,6075,2015
[奇幻修真],天刑纪,3966,2015
[古典仙侠],妖焰通天,2685,2015
[都市生活],最强狂兵,2620,2015
[科技时代],星际传奇,2548,2015
[东方玄幻],九阳踏天,2523,2015
[东方玄幻],雪中悍刀行,2519,2015
[东方玄幻],诸天谣,2413,2015
[奇幻修真],仙路至尊,1665,2015
[异世大陆],永夜君王,1383,2015
[都市生活],近身狂兵,920,2015
[东方玄幻],逆天邪神,883,2015
[东方玄幻],焚天剑尊,802,2015
[都市生活],特种神医,614,2015
[都市生活],终极教师,605,2015
[东方玄幻],十方神王,515,2015
[穿越历史],十国千娇,419,2015
[都市异能],纯禽记者,394,2015
[都市异能],低调术士,282,2015
[都市生活],透视高手,274,2015
[架空历史],大明1617,273,2015
[穿越历史],宰执天下,255,2015
[古典仙侠],戮仙,247,2015
[古典仙侠],仙路争锋,245,2015
[东方玄幻],符皇,229,2015
[都市生活],绝品保镖,170,2015
[进化变异],末日边缘,150,2015
[架空历史],国色生枭,145,2015
[东方玄幻],霸天雷神,142,2015
[穿越历史],三国之最风流,138,2015
[西方奇幻],狼血神探,122,2015
[都市异能],超品神瞳,121,2015
[虚拟网游],网游之我是终极大BOSS,118,2015
[东方玄幻],斗战主宰,107,2015
[东方玄幻],踏天争仙,101,2015
[东方玄幻],九星杀神,94,2015
[东方玄幻],仙武同修,92,2015
[东方玄幻],九霄神王,89,2015
[都市生活],全音阶狂潮,84,2015
[穿梭时空],无尽破碎,70,2015
[东方玄幻],不死战皇,69,2015
[东方玄幻],无极剑神,63,2015
[穿越历史],锦衣王侯,55,2015
[东方玄幻],不败战神,50,2015
[东方玄幻],帝临鸿蒙,43,2015
[虚拟网游],网游之梦幻法师,42,2015
[奇幻修真],偷香高手,40,2015
[东方玄幻],丹武九重天,39,2015
[都市异能],逆鳞,22217,2015
[都市生活],近身狂兵,12763,2015
[都市异能],纯禽记者,11649,2015
[东方玄幻],御天神帝,5494,2015
[奇幻修真],剑王朝,4178,2015
[东方玄幻],诸天谣,3368,2015
[奇幻修真],天刑纪,3119,2015
[东方玄幻],大荒蛮神,2843,2015
[异世大陆],永夜君王,1811,2015
[科技时代],星际传奇,1353,2015
[都市生活],最强狂兵,1313,2015
[东方玄幻],雪中悍刀行,1250,2015
[东方玄幻],逆天邪神,971,2015
[穿越历史],十国千娇,848,2015
[奇幻修真],仙路至尊,829,2015
[东方玄幻],九阳踏天,778,2015
[东方玄幻],养道,766,2015
[都市生活],超品战兵,633,2015
[都市生活],绝品保镖,480,2015
[都市生活],终极教师,302,2015
[东方玄幻],符皇,286,2015
[动漫衍生],火影之血雾迷情,265,2015
[穿越历史],宰执天下,262,2015
[都市生活],全音阶狂潮,258,2015
[古典仙侠],仙路争锋,243,2015
[架空历史],国色生枭,228,2015
[都市生活],透视高手,218,2015
[古典仙侠],戮仙,148,2015
[西方奇幻],狼血神探,126,2015
[都市异能],超品神瞳,121,2015
[东方玄幻],踏天争仙,119,2015
[架空历史],大明1617,107,2015
[进化变异],末日边缘,99,2015
[都市生活],特种神医,95,2015
[东方玄幻],帝临鸿蒙,92,2015
[奇幻修真],偷香高手,82,2015
[东方玄幻],十方神王,79,2015
[东方玄幻],丹武九重天,78,2015
[穿梭时空],无尽破碎,76,2015
[东方玄幻],仙武同修,73,2015
[古典仙侠],妖焰通天,66,2015
[东方玄幻],九星杀神,53,2015
[东方玄幻],盖世帝尊,52,2015
[虚拟网游],网游之梦幻法师,49,2015
[穿越历史],锦衣王侯,48,2015
[新派武侠],凉城客栈,48,2015
[架空历史],争龙道,44,2015
[东方玄幻],无极剑神,41,2015
[东方玄幻],斗战主宰,39,2015
[东方玄幻],霸天雷神,38,2015
[东方玄幻],焚天剑尊,35,2015
[都市异能],逆鳞,16366,2015
[古典仙侠],仙路争锋,6686,2015
[东方玄幻],丹武九重天,6272,2015
[东方玄幻],大荒蛮神,5881,2015
[东方玄幻],诸天谣,4821,2015
[东方玄幻],御天神帝,4054,2015
[奇幻修真],剑王朝,3848,2015
[异世大陆],永夜君王,3763,2015
[奇幻修真],天刑纪,3421,2015
[东方玄幻],盖世帝尊,3166,2015
[东方玄幻],斗战主宰,2763,2015
[东方玄幻],雪中悍刀行,1752,2015
[都市生活],近身狂兵,1643,2015
[都市异能],纯禽记者,1274,2015
[东方玄幻],养道,1233,2015
[都市生活],最强狂兵,1183,2015
[古典仙侠],戮仙,883,2015
[奇幻修真],仙路至尊,745,2015
[东方玄幻],九阳踏天,676,2015
[穿越历史],十国千娇,548,2015
[东方玄幻],逆天邪神,539,2015
[东方玄幻],龙符,495,2015
[东方玄幻],符皇,425,2015
[东方玄幻],仙武同修,289,2015
[都市生活],全音阶狂潮,207,2015
[动漫衍生],火影之血雾迷情,202,2015
[都市生活],超品战兵,197,2015
[架空历史],国色生枭,188,2015
[穿越历史],宰执天下,168,2015
[都市异能],超品神瞳,135,2015
[奇幻修真],偷香高手,134,2015
[架空历史],大明1617,131,2015
[科技时代],星际传奇,123,2015
[穿越历史],锦衣王侯,105,2015
[都市生活],透视高手,97,2015
[进化变异],末日边缘,92,2015
[都市生活],特种神医,92,2015
[东方玄幻],十方神王,90,2015
[西方奇幻],狼血神探,71,2015
[东方玄幻],踏天争仙,71,2015
[虚拟网游],网游之梦幻法师,65,2015
[东方玄幻],无极剑神,64,2015
[东方玄幻],帝临鸿蒙,62,2015
[都市生活],绝品保镖,60,2015
[穿梭时空],无尽破碎,57,2015
[东方玄幻],九星杀神,56,2015
[科技时代],超能纪元,52,2015
[都市生活],天字号保镖,36,2015
[都市生活],终极教师,30,2015
