类别,书名,月票数,时间
[奇幻修真],剑王朝,6538,2015
[穿越历史],十国千娇,5571,2015
[异世大陆],永夜君王,3890,2015
[都市生活],最强狂兵,3136,2015
[东方玄幻],大荒蛮神,2940,2015
[东方玄幻],九阳踏天,2559,2015
[东方玄幻],问镜,2014,2015
[都市生活],终极教师,1583,2015
[奇幻修真],无仙,1581,2015
[东方玄幻],雪中悍刀行,1480,2015
[异世大陆],魔临,1455,2015
[东方玄幻],符皇,1452,2015
[东方玄幻],乱世狂神,1277,2015
[古典仙侠],天玄印,1261,2015
[穿梭时空],升级成仙,1125,2015
[古典仙侠],仙路争锋,1067,2015
[古典仙侠],仙侠世界,1056,2015
[东方玄幻],帝御魔刀,952,2015
[东方玄幻],逆天邪神,892,2015
[东方玄幻],盗梦战神,691,2015
[东方玄幻],不败战神,600,2015
[穿越历史],三国之最风流,423,2015
[进化变异],末日边缘,359,2015
[穿越历史],宰执天下,350,2015
[古典仙侠],戮仙,317,2015
[都市异能],低调术士,300,2015
[东方玄幻],霸天雷神,282,2015
[架空历史],国色生枭,273,2015
[都市生活],特种神医,233,2015
[进化变异],斗神武装,207,2015
[末世危机],末世黑暗纪,175,2015
[虚拟网游],网游之梦幻法师,152,2015
[东方玄幻],龙神决,145,2015
[奇幻修真],九鼎神皇,139,2015
[奇幻修真],剑圣系统,137,2015
[穿越历史],大明海寇,127,2015
[都市异能],风起异能界,125,2015
[古典仙侠],戮神绝天,111,2015
[东方玄幻],星河大帝,106,2015
[东方玄幻],道印,102,2015
[奇幻修真],封天圣君,96,2015
[吸血传奇],血龙骄雄,91,2015
[穿越历史],扶风歌,89,2015
[奇幻修真],仙路至尊,89,2015
[进化变异],灾厄纪元,84,2015
[古典仙侠],仙路争锋,5872,2015
[穿越历史],十国千娇,4793,2015
[奇幻修真],剑王朝,3680,2015
[都市生活],最强狂兵,3312,2015
[异世大陆],永夜君王,3138,2015
[东方玄幻],九阳踏天,2857,2015
[奇幻修真],无仙,1989,2015
[东方玄幻],踏天争仙,1929,2015
[东方玄幻],大荒蛮神,1852,2015
[东方玄幻],问镜,1722,2015
[都市生活],终极教师,1440,2015
[东方玄幻],逆天邪神,1274,2015
[东方玄幻],符皇,1006,2015
