类别,书名,月票数
[东方玄幻],问镜,31145
[东方玄幻],大荒蛮神,27121
[奇幻修真],剑王朝,3884
[东方玄幻],丹武九重天,2840
[东方玄幻],符皇,2498
[东方玄幻],九阳踏天,2186
[古典仙侠],仙路争锋,2173
[奇幻修真],仙路至尊,2169
[奇幻修真],无仙,2096
[东方玄幻],雪中悍刀行,2025
[异世大陆],永夜君王,1699
[古典仙侠],戮仙,1155
[异世大陆],法逆蛮荒,1083
[都市生活],终极教师,1019
[东方玄幻],诛天镇魔,901
[东方玄幻],龙血武神,881
[穿越历史],十国千娇,844
[东方玄幻],逆天邪神,578
[东方玄幻],不败战神,484
[奇幻修真],偷香高手,473
[都市重生],重生之辉煌一世,282
[都市生活],最强狂兵,266
[古典仙侠],苍天剑歌,250
[东方玄幻],龙象神皇,244
[架空历史],国色生枭,228
[灵异神怪],龙楼宝殿,226
[东方玄幻],踏天争仙,215
[穿越历史],宰执天下,207
[都市生活],全音阶狂潮,205
[东方玄幻],万法神典,203
[灵异神怪],棺山夜行,189
[东方玄幻],霸天雷神,179
[东方玄幻],道印,161
[东方玄幻],崩仙逆道,160
[异世大陆],傲世九界,159
[东方玄幻],御天神帝,157
[穿越历史],三国之最风流,141
[都市生活],特种神医,139
[星际争霸],亚图姆的陨落,137
[东方玄幻],无极剑神,122
[东方玄幻],仙裔魔途,118
[奇幻修真],仙医鬼卜,114
[都市生活],终极狼警,110
[都市生活],极品兵王在都市,107
