类别,书名,月票数
[古典仙侠],仙路争锋,5872
[穿越历史],十国千娇,4793
[奇幻修真],剑王朝,3680
[都市生活],最强狂兵,3312
[异世大陆],永夜君王,3138
[东方玄幻],九阳踏天,2857
[奇幻修真],无仙,1989
[东方玄幻],踏天争仙,1929
[东方玄幻],大荒蛮神,1852
[东方玄幻],问镜,1722
[都市生活],终极教师,1440
[东方玄幻],逆天邪神,1274
[东方玄幻],符皇,1006
[东方玄幻],雪中悍刀行,866
[穿梭时空],无尽破碎,685
[都市生活],终极狂兵,660
[穿越历史],宰执天下,406
[东方玄幻],不败战神,393
[穿梭时空],升级成仙,377
[奇幻修真],霸道绝色,351
[古典仙侠],戮仙,275
[进化变异],末日边缘,270
[末世危机],末世黑暗纪,269
[架空历史],国色生枭,249
[东方玄幻],道印,239
[灵异神怪],棺山夜行,193
[异世大陆],无上血尊,178
[科技时代],数字传奇,171
[东方玄幻],霸天雷神,169
[东方玄幻],无极剑神,169
[东方玄幻],星河大帝,168
[进化变异],灾厄纪元,161
[奇幻修真],仙路至尊,146
[东方玄幻],乱世狂神,144
[架空历史],金牌小书童,139
[都市重生],重生之辉煌一世,139
[异世大陆],无上霸天,139
[都市生活],特种神医,131
[东方玄幻],逆天邪君,127
[异世大陆],天道天骄,126
[异世大陆],灭世道劫,121
[穿梭时空],死亡名单,118
[异世大陆],踏天狂神,117
[都市生活],大神的妖孽人生,116
[异世大陆],图腾大陆,114
