类别,书名,月票数
[异世大陆],永夜君王,43771
[奇幻修真],剑王朝,3924
[古典仙侠],仙路争锋,3079
[东方玄幻],大荒蛮神,2933
[东方玄幻],踏天争仙,2476
[东方玄幻],九阳踏天,2250
[东方玄幻],问镜,2060
[奇幻修真],无仙,1947
[穿越历史],十国千娇,1781
[东方玄幻],雪中悍刀行,1565
[东方玄幻],丹武九重天,1264
[都市生活],终极教师,1061
[东方玄幻],道印,831
[都市生活],最强狂兵,829
[东方玄幻],符皇,819
[都市生活],终极狂兵,812
[东方玄幻],逆天邪神,806
[东方玄幻],不败战神,369
[奇幻修真],仙路至尊,363
[东方玄幻],仙武同修,328
[异世大陆],绝世斗魂,319
[架空历史],国色生枭,296
[东方玄幻],乱世狂神,280
[穿越历史],宰执天下,275
[西方奇幻],天神下凡,259
[穿梭时空],升级成仙,244
[古典仙侠],戮仙,231
[东方玄幻],霸天雷神,201
[东方玄幻],神武记,201
[进化变异],末日边缘,166
[都市生活],特种神医,151
[动漫衍生],火影之血雾迷情,151
[异世大陆],傲世九界,148
[末世危机],末世黑暗纪,144
[穿越历史],三国之最风流,142
[穿梭时空],无尽破碎,120
[穿梭时空],死亡名单,113
[都市异能],超级无敌召唤空间,106
[新派武侠],凉城客栈,94
[异世大陆],武道玄皇,94
[都市异能],低调术士,91
[进化变异],斗神武装,86
[古典仙侠],苍天剑歌,86
