类别,书名,月票数
[东方玄幻],雪中悍刀行,27211
[东方玄幻],逆天邪神,9473
[奇幻修真],剑王朝,4071
[东方玄幻],大荒蛮神,3246
[东方玄幻],御天神帝,2918
[都市生活],最强狂兵,2847
[东方玄幻],丹武九重天,2708
[异世大陆],永夜君王,2590
[东方玄幻],九阳踏天,2170
[都市异能],纯禽记者,1266
[都市异能],低调术士,1183
[都市生活],绝品保镖,1182
[东方玄幻],符皇,1180
[东方玄幻],十方神王,1150
[奇幻修真],仙路至尊,1118
[都市生活],终极教师,1117
[穿越历史],十国千娇,1115
[科技时代],星际传奇,938
[穿越历史],宰执天下,523
[都市生活],透视高手,363
[古典仙侠],仙路争锋,340
[东方玄幻],不败战神,318
[古典仙侠],戮仙,306
[都市生活],全音阶狂潮,273
[东方玄幻],霸天雷神,183
[架空历史],国色生枭,182
[东方玄幻],帝临鸿蒙,166
[西方奇幻],狼血神探,165
[奇幻修真],偷香高手,165
[东方玄幻],仙武同修,140
[穿越历史],三国之最风流,136
[都市异能],超品神瞳,133
[虚拟网游],网游之梦幻法师,94
[虚拟网游],网游之我是终极大BOSS,91
[都市生活],特种神医,86
[进化变异],末日边缘,70
[东方玄幻],九星杀神,70
[新派武侠],凉城客栈,68
[穿梭时空],死亡名单,67
[东方玄幻],踏天争仙,66
[东方玄幻],无极剑神,65
[东方玄幻],龙神决,61
[都市异能],最强透视,59
[东方玄幻],问镜,49
