类别,书名,月票数
[古典仙侠],剑来,60465
[东方玄幻],大逆之门,24805
[都市生活],极品神医,24505
[都市生活],拔枪,7541
[都市异能],校园超品狂少,6956
[都市异能],末日刁民,6411
[都市生活],最强狂兵,6258
[都市异能],医流狂兵,3757
[异世大陆],原血神座,3703
[东方玄幻],大夏王侯,3691
[转世重生],官方救世主,3093
[都市异能],纯禽记者,2839
[异世大陆],永夜君王,2551
[都市生活],近身狂兵,2383
[奇幻修真],偷香高手,2076
[奇幻修真],九界仙尊,2059
[都市异能],最强妖孽,2039
[都市异能],都市无上仙尊,2026
[异世大陆],异界大村长,2010
[都市生活],霉运阴阳眼,1996
[东方玄幻],踏天无痕,1185
[都市异能],最强救世主,911
[奇幻修真],仙路至尊,871
[东方玄幻],无敌剑域,838
[奇幻修真],天刑纪,735
[末世危机],末日之无上王座,651
[传统武侠],承天,642
[都市生活],超品战兵,629
[都市异能],极品神眼,580
[进化变异],星辰之主,527
[东方玄幻],天骄战纪,519
[东方玄幻],九天剑主,435
[东方玄幻],一世独尊,431
[架空历史],大明1617,411
[东方玄幻],逆天邪神,386
[东方玄幻],盖世帝尊,372
[穿越历史],三国之最风流,363
[都市异能],逆鳞,345
[都市异能],都市最强魔少,310
[都市生活],医等狂兵,309
[都市重生],桃运邪医,293
[穿越历史],唐谋天下,265
[东方玄幻],道破轮回,260
[都市生活],绝品强少,253
[都市生活],全音阶狂潮,242
[都市异能],超品神瞳,235
[架空历史],锦衣春秋,230
[古典仙侠],仙武道纪,226
[穿越历史],宰执天下,217
[东方玄幻],火帝神尊,211
[都市生活],妙医鸿途,207
[江湖情仇],无间枭雄,195
[东方玄幻],剑道通神,195
[异世大陆],万域之王,191
[都市生活],医品宗师,189
[末世危机],末日岩帝,174
[都市生活],最强逆袭,174
[东方玄幻],龙符,167
[东方玄幻],天降鬼才,163
