类别,书名,月票数
[都市生活],超品战兵,12694
[都市生活],医品宗师,9045
[东方玄幻],诸天谣,8147
[异世大陆],原血神座,7251
[都市生活],最强狂兵,6719
[东方玄幻],道破轮回,5618
[东方玄幻],轮回剑主,5097
[东方玄幻],丹武狂神,4484
[都市生活],至尊纨绔,4405
[东方玄幻],御龙九天,4036
[古典仙侠],钧天图,3972
[东方玄幻],大夏王侯,3903
[异世大陆],永夜君王,2538
[都市异能],纯禽记者,2084
[都市异能],末日刁民,1537
[青春校园],神级校花别撩我,1519
[东方玄幻],无敌剑域,1507
[都市生活],透视高手,1435
[东方玄幻],万道神帝,1293
[奇幻修真],偷香高手,1138
[新派武侠],在七扇门当差的日子,1019
[都市生活],极品神医,1001
[架空历史],锦衣春秋,809
[东方玄幻],踏天无痕,751
[东方玄幻],一世独尊,617
[东方玄幻],御天神帝,597
[东方玄幻],祭炼山河,558
[进化变异],星辰之主,446
[都市异能],都市最强魔少,442
[都市生活],全音阶狂潮,441
[奇幻修真],仙路至尊,422
[江湖情仇],无间枭雄,420
[都市生活],近身狂兵,419
[都市异能],极品神眼,395
[东方玄幻],天骄战纪,384
[奇幻修真],九界仙尊,370
[都市异能],逆鳞,364
[架空历史],大明1617,337
[都市异能],超品神瞳,334
[东方玄幻],龙符,318
[异世大陆],万域之王,272
[都市异能],最强妖孽,267
[东方玄幻],雪中悍刀行,245
[东方玄幻],逆天邪神,235
[东方玄幻],盖世帝尊,232
[东方玄幻],大逆之门,221
[穿越历史],宰执天下,211
[奇幻修真],天刑纪,204
[东方玄幻],十方神王,185
[古典仙侠],仙武道纪,178
[东方玄幻],火帝神尊,173
[奇幻修真],剑王朝,166
[东方玄幻],九天剑主,156
[都市生活],妙医鸿途,149
[东方玄幻],至上神座,120
[进化变异],末日边缘,116
[穿越历史],三国之最风流,110
[都市生活],最强逆袭,109
