类别,书名,月票数
[东方玄幻],天骄战纪,15387
[都市生活],最强狂兵,12824
[东方玄幻],圣武星辰,6193
[都市生活],医品宗师,4561
[古典仙侠],钧天图,4212
[都市异能],医流狂兵,2651
[东方玄幻],祭炼山河,2643
[东方玄幻],大逆之门,2448
[东方玄幻],轮回剑主,2209
[转世重生],官方救世主,2115
[异世大陆],原血神座,2069
[都市异能],纯禽记者,1672
[都市生活],近身狂兵,1289
[都市重生],桃运邪医,1282
[东方玄幻],踏天无痕,1202
[都市生活],全音阶狂潮,1182
[奇幻修真],九界仙尊,1129
[东方玄幻],无敌剑域,1125
[东方玄幻],逆天邪神,1072
[都市异能],末日刁民,976
[古典仙侠],剑来,954
[异世大陆],永夜君王,843
[末世危机],末日之无上王座,729
[奇幻修真],偷香高手,577
[都市异能],极品神眼,540
[新派武侠],在七扇门当差的日子,508
[东方玄幻],盖世帝尊,485
[东方玄幻],大道问鼎,464
[进化变异],星辰之主,446
[东方玄幻],大夏王侯,394
[奇幻修真],平天策,348
[东方玄幻],九天剑主,327
[架空历史],大明1617,323
[穿越历史],三国之最风流,317
[穿越历史],大明春色,316
[都市异能],最强妖孽,298
[都市异能],逆鳞,281
[奇幻修真],仙路至尊,275
[东方玄幻],火帝神尊,257
[都市异能],都市最强魔少,246
[穿越历史],唐谋天下,227
[东方玄幻],一世独尊,226
[都市异能],绝世巫医,220
[都市生活],医等狂兵,216
[异世大陆],异界大村长,212
[奇幻修真],天刑纪,211
[都市异能],超品神瞳,191
[末世危机],末日岩帝,189
[都市异能],都市神级高手,188
[东方玄幻],藏锋,185
[架空历史],锦衣春秋,182
[异世大陆],万域之王,158
[都市生活],妙医鸿途,143
[东方玄幻],龙武战神,130
[都市生活],最强逆袭,124
[东方玄幻],十方神王,121
[古典仙侠],仙武道纪,106
[江湖情仇],无间枭雄,91
[东方玄幻],龙符,81
