类别,书名,月票数
[奇幻修真],平天策,45402
[古典仙侠],剑来,24823
[都市生活],最强狂兵,9634
[东方玄幻],盖世帝尊,9327
[东方玄幻],圣武星辰,8254
[都市异能],绝命毒尸,6124
[奇幻修真],九界仙尊,5688
[东方玄幻],大逆之门,5269
[都市生活],下山虎,4535
[奇幻修真],血染长生,4231
[都市生活],全音阶狂潮,3711
[都市异能],最强妖孽,3338
[东方玄幻],大夏王侯,2917
[转世重生],官方救世主,2906
[异世大陆],原血神座,2904
[都市生活],花都最强狂龙,2676
[东方玄幻],祭炼山河,2333
[奇幻修真],天刑纪,2261
[东方玄幻],无敌剑域,1875
[东方玄幻],九天剑主,1802
[异世大陆],永夜君王,1696
[都市生活],极品大玩家,1542
[进化变异],星辰之主,1522
[东方玄幻],天骄战纪,1508
[古典仙侠],浮沧录,1246
[东方玄幻],道破轮回,1185
[东方玄幻],踏天无痕,1178
[东方玄幻],逆天邪神,964
[东方玄幻],元尊,933
[末世危机],末日岩帝,840
[东方玄幻],轮回一剑,654
[都市生活],这个农民有点虎,580
[穿越历史],宰执天下,571
[都市异能],神品良医,568
[都市生活],超品战兵,534
[穿越历史],大明春色,529
[都市重生],神级奶爸,504
[东方玄幻],大道问鼎,454
[都市生活],近身狂兵,451
[都市生活],妙医鸿途,412
[都市重生],重生之商业大亨,410
[末世危机],行尸腐肉,383
[架空历史],大明1617,363
[奇幻修真],偷香高手,359
[都市异能],纯禽记者,357
[新派武侠],在七扇门当差的日子,309
[东方玄幻],儒武争锋,308
[都市生活],最强逆袭,292
[东方玄幻],龙武战神,291
[都市生活],医等狂兵,284
[奇幻修真],仙路至尊,278
[东方玄幻],藏锋,245
[都市重生],桃运邪医,239
[都市异能],超品神瞳,238
[东方玄幻],龙符,230
[都市异能],都市无上仙尊,228
[架空历史],汉血丹心,213
[架空历史],锦衣春秋,193
[东方玄幻],诸天谣,191
[东方玄幻],一世独尊,170
