类别,书名,月票数
[东方玄幻],圣武星辰,26115
[东方玄幻],天骄战纪,12168
[东方玄幻],十方神王,8219
[都市生活],极品神医,5880
[都市生活],医品宗师,5864
[穿越历史],大明春色,5249
[奇幻修真],平天策,4925
[异世大陆],原血神座,3596
[都市异能],医流狂兵,3544
[都市生活],至尊纨绔,3470
[东方玄幻],祭炼山河,3424
[东方玄幻],大逆之门,2774
[古典仙侠],剑来,2418
[转世重生],官方救世主,1750
[都市异能],末日刁民,1549
[古典仙侠],钧天图,1357
[东方玄幻],道破轮回,1335
[东方玄幻],无敌剑域,1312
[异世大陆],永夜君王,1299
[都市生活],最强狂兵,1099
[传统武侠],承天,962
[东方玄幻],踏天无痕,834
[末世危机],末日之无上王座,829
[都市异能],纯禽记者,789
[奇幻修真],仙路至尊,694
[都市异能],极品神眼,690
[都市生活],全音阶狂潮,619
[奇幻修真],偷香高手,616
[都市生活],超品战兵,579
[都市生活],近身狂兵,552
[异世大陆],异界大村长,549
[东方玄幻],大道问鼎,480
[东方玄幻],逆天邪神,449
[进化变异],星辰之主,445
[东方玄幻],九天剑主,420
[奇幻修真],九界仙尊,379
[东方玄幻],藏锋,374
[东方玄幻],大夏王侯,360
[都市异能],逆鳞,348
[穿越历史],三国之最风流,335
[架空历史],大明1617,320
[奇幻修真],天刑纪,314
[都市重生],桃运邪医,273
[架空历史],锦衣春秋,257
[东方玄幻],盖世帝尊,236
[都市异能],超品神瞳,232
[都市生活],透视高手,227
[东方玄幻],火帝神尊,218
[穿越历史],唐谋天下,211
[东方玄幻],一世独尊,208
[末世危机],末日岩帝,200
[末世危机],末世之无法无天,194
[古典仙侠],仙武道纪,167
[都市生活],医等狂兵,166
[都市生活],最强逆袭,147
[都市生活],妙医鸿途,144
[异世大陆],万域之王,137
[都市异能],最强妖孽,123
