类别,书名,月票数
[都市生活],医品宗师,65262
[都市生活],全音阶狂潮,62439
[东方玄幻],一世独尊,47878
[穿越历史],唐谋天下,16781
[王朝争霸],天越圣尊,10135
[东方玄幻],诸天谣,8467
[都市异能],纯禽记者,7529
[都市生活],超品战兵,7260
[都市异能],末日刁民,5777
[都市异能],极品神眼,4203
[都市生活],最强狂兵,3653
[东方玄幻],轮回剑主,3641
[异世大陆],原血神座,3578
[异世大陆],永夜君王,3374
[东方玄幻],大逆之门,3332
[都市生活],霉运阴阳眼,3325
[东方玄幻],大夏王侯,3136
[都市生活],近身狂兵,2866
[新派武侠],侠行九州,2815
[奇幻修真],偷香高手,2448
[东方玄幻],无敌剑域,2310
[都市生活],最强逆袭,2209
[东方玄幻],踏天无痕,1370
[东方玄幻],盖世帝尊,1134
[奇幻修真],九界仙尊,834
[东方玄幻],天骄战纪,763
[进化变异],星辰之主,669
[东方玄幻],九天剑主,657
[都市异能],最强妖孽,610
[东方玄幻],雪中悍刀行,591
[都市异能],都市最强魔少,530
[都市异能],逆鳞,505
[东方玄幻],逆天邪神,444
[奇幻修真],仙路至尊,435
[都市异能],超品神瞳,416
[架空历史],锦衣春秋,390
[异世大陆],万域之王,387
[江湖情仇],无间枭雄,385
[东方玄幻],御天神帝,350
[架空历史],大明1617,345
[都市生活],超品农民,332
[东方玄幻],火帝神尊,297
[东方玄幻],十方神王,292
[东方玄幻],御龙九天,282
[奇幻修真],天刑纪,265
[东方玄幻],龙符,251
[职场商战],重生之盛世崛起,246
[东方玄幻],至上神座,230
[异世大陆],菜刀通天,230
[东方玄幻],丹武狂神,218
[穿越历史],大宋王侯,193
[古典仙侠],仙武道纪,189
[都市生活],妙医鸿途,187
[虚拟网游],网游之梦幻法师,175
[东方玄幻],道破轮回,164
[穿越历史],宰执天下,160
[进化变异],末日边缘,160
[穿越历史],明贼,147
