类别,书名,月票数
[奇幻修真],平天策,22392
[古典仙侠],剑来,18216
[东方玄幻],圣武星辰,11556
[架空历史],锦衣春秋,10440
[东方玄幻],天骄战纪,7760
[都市生活],超品战兵,7251
[都市异能],最强妖孽,4550
[东方玄幻],人道帝尊,4089
[都市生活],下山虎,3867
[异世大陆],原血神座,3583
[东方玄幻],诸天谣,3378
[都市生活],最强狂兵,2182
[都市异能],都市神级高手,2053
[异世大陆],永夜君王,1751
[都市生活],妙医鸿途,1729
[转世重生],官方救世主,1206
[异世大陆],不败毒神,1105
[都市异能],医流狂兵,1057
[奇幻修真],天刑纪,1009
[都市重生],桃运邪医,965
[东方玄幻],无敌剑域,905
[东方玄幻],踏天无痕,851
[东方玄幻],逆天邪神,784
[都市重生],重生之商业大亨,668
[东方玄幻],大夏王侯,622
[穿越历史],大明春色,598
[都市生活],近身狂兵,594
[东方玄幻],藏锋,590
[都市重生],都市最强修仙,588
[奇幻修真],九界仙尊,538
[进化变异],星辰之主,512
[东方玄幻],大逆之门,468
[奇幻修真],仙路至尊,445
[都市异能],纯禽记者,413
[都市生活],全音阶狂潮,364
[都市生活],这个农民有点虎,362
[新派武侠],在七扇门当差的日子,357
[东方玄幻],元尊,356
[都市异能],超品神瞳,325
[都市异能],逆鳞,312
[都市生活],极品大玩家,307
[东方玄幻],大道问鼎,299
[都市异能],末日刁民,298
[东方玄幻],轮回一剑,288
[奇幻修真],偷香高手,280
[架空历史],大明1617,261
[都市生活],医等狂兵,249
[穿越历史],宰执天下,218
[异世大陆],万域之王,206
[东方玄幻],天降鬼才,197
[都市生活],最强逆袭,162
[东方玄幻],龙武战神,153
[东方玄幻],一世独尊,142
[都市生活],大刁民,135
[东方玄幻],儒武争锋,127
[东方玄幻],十方神王,125
[穿越历史],唐谋天下,116
[转世重生],封魔神尊,110
[末世危机],末日之无上王座,109
[都市生活],医品宗师,100
