类别,书名,月票数
[东方玄幻],儒武争锋,24471
[都市生活],妙医鸿途,10452
[东方玄幻],天骄战纪,10128
[古典仙侠],剑来,10074
[东方玄幻],一世独尊,8723
[都市生活],至尊纨绔,3482
[都市生活],近身狂兵,2443
[东方玄幻],祭炼山河,2358
[都市异能],都市神级高手,2058
[异世大陆],原血神座,2025
[奇幻修真],天刑纪,1585
[都市生活],下山虎,1545
[东方玄幻],大逆之门,1368
[异世大陆],永夜君王,1123
[都市生活],最强狂兵,1114
[转世重生],官方救世主,1068
[都市生活],超品战兵,1046
[穿越历史],大明春色,1012
[东方玄幻],轮回一剑,987
[都市异能],医流狂兵,979
[都市异能],末日刁民,924
[东方玄幻],无敌剑域,722
[东方玄幻],踏天无痕,678
[东方玄幻],逆天邪神,674
[进化变异],星辰之主,609
[东方玄幻],元尊,601
[东方玄幻],圣武星辰,525
[都市生活],极品大玩家,503
[奇幻修真],平天策,500
[东方玄幻],大夏王侯,443
[都市生活],全音阶狂潮,428
[奇幻修真],九界仙尊,418
[都市异能],纯禽记者,402
[东方玄幻],大道问鼎,331
[奇幻修真],偷香高手,315
[东方玄幻],雪中悍刀行,286
[异世大陆],万域之王,257
[都市生活],医等狂兵,242
[末世危机],末日之无上王座,233
[都市重生],重生之商业大亨,227
[异世大陆],不败毒神,226
[奇幻修真],仙路至尊,225
[架空历史],大明1617,214
[都市生活],大刁民,193
[都市异能],最强妖孽,192
[穿越历史],唐谋天下,188
[穿越历史],大宋王侯,176
[东方玄幻],藏锋,172
[架空历史],锦衣春秋,165
[东方玄幻],天降鬼才,163
[都市异能],极品神眼,151
[都市异能],超品神瞳,145
[穿越历史],混在1275,145
[东方玄幻],龙武战神,142
[都市重生],都市最强修仙,141
[东方玄幻],盖世帝尊,135
[都市生活],医品宗师,125
[都市异能],逆鳞,125
[东方玄幻],九天剑主,123
