类别,书名,月票数
[都市生活],最强逆袭,10685
[东方玄幻],大逆之门,9726
[都市生活],医品宗师,9292
[都市生活],超品战兵,8711
[都市生活],至尊纨绔,6871
[东方玄幻],轮回剑主,6645
[都市生活],最强狂兵,5873
[传统武侠],承天,5755
[异世大陆],丹符至尊,5738
[异世大陆],原血神座,5308
[古典仙侠],钧天图,4427
[奇幻修真],剑道争锋,3912
[都市异能],末日刁民,1767
[异世大陆],永夜君王,1536
[转世重生],官方救世主,1527
[东方玄幻],盖世帝尊,1523
[架空历史],锦衣春秋,1415
[奇幻修真],我有不死之身,1307
[东方玄幻],大夏王侯,1290
[都市异能],纯禽记者,1278
[东方玄幻],无敌剑域,1237
[东方玄幻],踏天无痕,1062
[奇幻修真],偷香高手,864
[都市生活],近身狂兵,696
[都市异能],超强透视,674
[都市异能],最强妖孽,640
[奇幻修真],仙路至尊,562
[东方玄幻],一世独尊,530
[奇幻修真],天刑纪,526
[东方玄幻],天骄战纪,516
[奇幻修真],九界仙尊,504
[进化变异],星辰之主,385
[东方玄幻],逆天邪神,350
[东方玄幻],御天神帝,319
[都市异能],极品神眼,319
[新派武侠],在七扇门当差的日子,318
[都市异能],逆鳞,312
[都市异能],超品神瞳,279
[异世大陆],万域之王,242
[江湖情仇],无间枭雄,225
[架空历史],大明1617,221
[东方玄幻],十方神王,216
[都市生活],全音阶狂潮,204
[都市生活],妙医鸿途,194
[穿越历史],唐谋天下,189
[东方玄幻],火帝神尊,187
[末世危机],末日之无上王座,175
[东方玄幻],龙符,168
[穿越历史],混在1275,168
[进化变异],末日边缘,129
[穿越历史],宰执天下,128
[东方玄幻],九天剑主,120
[古典仙侠],仙武道纪,115
[奇幻修真],剑王朝,112
[东方玄幻],雪中悍刀行,107
[穿越历史],大宋王侯,106
[穿越历史],明贼,102
[都市生活],绝品保镖,98
[都市异能],都市最强魔少,97
