类别,书名,月票数
[东方玄幻],元尊,223710
[都市生活],超品战兵,24786
[奇幻修真],平天策,22553
[都市生活],最强狂兵,18842
[东方玄幻],一世独尊,13577
[都市生活],近身狂兵,10417
[古典仙侠],无尽魔焰,9263
[都市异能],医流狂兵,7100
[东方玄幻],盖世帝尊,6763
[穿越历史],大明春色,5302
[东方玄幻],圣武星辰,3950
[古典仙侠],剑来,3834
[东方玄幻],大逆之门,3440
[奇幻修真],九界仙尊,3422
[转世重生],官方救世主,3382
[东方玄幻],大夏王侯,3260
[东方玄幻],轮回一剑,3227
[都市生活],全音阶狂潮,3217
[东方玄幻],洪荒神尊,3201
[东方玄幻],祭炼山河,3052
[进化变异],星辰之主,2893
[异世大陆],原血神座,2056
[东方玄幻],天骄战纪,1554
[东方玄幻],踏天无痕,1501
[都市异能],末日刁民,1372
[异世大陆],永夜君王,1292
[都市生活],花都最强狂龙,961
[东方玄幻],无敌剑域,921
[东方玄幻],逆天邪神,761
[都市异能],纯禽记者,713
[奇幻修真],偷香高手,609
[都市异能],极品神眼,441
[都市生活],医等狂兵,427
[都市异能],最强妖孽,424
[东方玄幻],大道问鼎,398
[奇幻修真],天刑纪,383
[架空历史],大明1617,373
[东方玄幻],龙符,320
[异世大陆],万域之王,314
[都市生活],妙医鸿途,305
[末世危机],末日之无上王座,288
[奇幻修真],仙路至尊,277
[东方玄幻],龙武战神,255
[穿越历史],唐谋天下,249
[东方玄幻],火帝神尊,220
[都市异能],超品神瞳,197
[都市重生],都市最强修仙,192
[都市重生],重生之商业大亨,177
[都市异能],逆鳞,171
[都市重生],桃运邪医,164
[东方玄幻],藏锋,161
[都市生活],绝品保镖,156
[新派武侠],在七扇门当差的日子,153
[穿越历史],三国之最风流,150
[架空历史],锦衣春秋,147
[末世危机],末日岩帝,138
[都市生活],最强逆袭,133
[都市生活],医品宗师,122
[东方玄幻],九天剑主,117
