类别,书名,月票数,时间
[都市生活],医品宗师,10278,2017
[都市生活],最强逆袭,9655,2017
[都市异能],超品神瞳,7368,2017
[都市生活],超品战兵,4977,2017
[都市生活],最强狂兵,4927,2017
[都市生活],透视高手,4409,2017
[东方玄幻],儒武争锋,4188,2017
[东方玄幻],轮回剑主,3732,2017
[异世大陆],丹符至尊,3325,2017
[都市异能],纯禽记者,3254,2017
[异世大陆],原血神座,3187,2017
[古典仙侠],书剑长安,2394,2017
[都市生活],霉运阴阳眼,2264,2017
[异世大陆],永夜君王,1946,2017
[东方玄幻],无敌剑域,1814,2017
[都市异能],末日刁民,1689,2017
[东方玄幻],踏天无痕,1443,2017
[东方玄幻],大夏王侯,1249,2017
[东方玄幻],御龙九天,1246,2017
[都市重生],异界霸主在都市,1217,2017
[都市生活],全音阶狂潮,1143,2017
[架空历史],锦衣春秋,910,2017
[东方玄幻],御天神帝,867,2017
[东方玄幻],大逆之门,733,2017
[都市生活],近身狂兵,631,2017
[奇幻修真],偷香高手,592,2017
[都市异能],逆鳞,586,2017
[奇幻修真],九界仙尊,584,2017
[东方玄幻],祭炼山河,571,2017
[奇幻修真],帝念永存,569,2017
[奇幻修真],仙路至尊,546,2017
[进化变异],星辰之主,496,2017
[东方玄幻],盖世帝尊,488,2017
[东方玄幻],天骄战纪,460,2017
[穿越历史],三国之最风流,433,2017
[东方玄幻],一世独尊,429,2017
[东方玄幻],雪中悍刀行,429,2017
[进化变异],末日边缘,404,2017
[东方玄幻],龙符,393,2017
[东方玄幻],逆天邪神,353,2017
[都市生活],妙医鸿途,337,2017
[奇幻修真],剑王朝,306,2017
[架空历史],大明1617,281,2017
[异世大陆],万域之王,259,2017
[东方玄幻],火帝神尊,243,2017
[都市异能],最强妖孽,228,2017
[都市生活],超品战兵,12694,2017
[都市生活],医品宗师,9045,2017
[东方玄幻],诸天谣,8147,2017
[异世大陆],原血神座,7251,2017
[都市生活],最强狂兵,6719,2017
[东方玄幻],道破轮回,5618,2017
[东方玄幻],轮回剑主,5097,2017
[东方玄幻],丹武狂神,4484,2017
[都市生活],至尊纨绔,4405,2017
[东方玄幻],御龙九天,4036,2017
[古典仙侠],钧天图,3972,2017
[东方玄幻],大夏王侯,3903,2017
[异世大陆],永夜君王,2538,2017
[都市异能],纯禽记者,2084,2017
[都市异能],末日刁民,1537,2017
[青春校园],神级校花别撩我,1519,2017
[东方玄幻],无敌剑域,1507,2017
[都市生活],透视高手,1435,2017
[东方玄幻],万道神帝,1293,2017
[奇幻修真],偷香高手,1138,2017
[新派武侠],在七扇门当差的日子,1019,2017
[都市生活],极品神医,1001,2017
[架空历史],锦衣春秋,809,2017
[东方玄幻],踏天无痕,751,2017
[东方玄幻],一世独尊,617,2017
[东方玄幻],御天神帝,597,2017
[东方玄幻],祭炼山河,558,2017
[进化变异],星辰之主,446,2017
[都市异能],都市最强魔少,442,2017
[都市生活],全音阶狂潮,441,2017
[奇幻修真],仙路至尊,422,2017
[江湖情仇],无间枭雄,420,2017
[都市生活],近身狂兵,419,2017
[都市异能],极品神眼,395,2017
[东方玄幻],天骄战纪,384,2017
[奇幻修真],九界仙尊,370,2017
[都市异能],逆鳞,364,2017
[架空历史],大明1617,337,2017
[都市异能],超品神瞳,334,2017
[东方玄幻],龙符,318,2017
[异世大陆],万域之王,272,2017
[都市异能],最强妖孽,267,2017
[东方玄幻],雪中悍刀行,245,2017
[东方玄幻],逆天邪神,235,2017
[东方玄幻],盖世帝尊,232,2017
[东方玄幻],大逆之门,221,2017
[都市生活],医品宗师,65262,2017
[都市生活],全音阶狂潮,62439,2017
[东方玄幻],一世独尊,47878,2017
[穿越历史],唐谋天下,16781,2017
[王朝争霸],天越圣尊,10135,2017
[东方玄幻],诸天谣,8467,2017
[都市异能],纯禽记者,7529,2017
[都市生活],超品战兵,7260,2017
[都市异能],末日刁民,5777,2017
[都市异能],极品神眼,4203,2017
[都市生活],最强狂兵,3653,2017
[东方玄幻],轮回剑主,3641,2017
[异世大陆],原血神座,3578,2017
[异世大陆],永夜君王,3374,2017
[东方玄幻],大逆之门,3332,2017
[都市生活],霉运阴阳眼,3325,2017
[东方玄幻],大夏王侯,3136,2017
[都市生活],近身狂兵,2866,2017
[新派武侠],侠行九州,2815,2017
[奇幻修真],偷香高手,2448,2017
[东方玄幻],无敌剑域,2310,2017
[都市生活],最强逆袭,2209,2017
[东方玄幻],踏天无痕,1370,2017
[东方玄幻],盖世帝尊,1134,2017
[奇幻修真],九界仙尊,834,2017
[东方玄幻],天骄战纪,763,2017
[进化变异],星辰之主,669,2017
[东方玄幻],九天剑主,657,2017
[都市异能],最强妖孽,610,2017
[东方玄幻],雪中悍刀行,591,2017
[都市异能],都市最强魔少,530,2017
[都市异能],逆鳞,505,2017
[东方玄幻],逆天邪神,444,2017
[奇幻修真],仙路至尊,435,2017
[都市异能],超品神瞳,416,2017
[架空历史],锦衣春秋,390,2017
[异世大陆],万域之王,387,2017
[江湖情仇],无间枭雄,385,2017
[东方玄幻],御天神帝,350,2017
[架空历史],大明1617,345,2017
[都市生活],超品农民,332,2017
[东方玄幻],火帝神尊,297,2017
[东方玄幻],十方神王,292,2017
[东方玄幻],御龙九天,282,2017
[奇幻修真],天刑纪,265,2017
[东方玄幻],龙符,251,2017
[都市生活],最强逆袭,10685,2017
[东方玄幻],大逆之门,9726,2017
[都市生活],医品宗师,9292,2017
[都市生活],超品战兵,8711,2017
[都市生活],至尊纨绔,6871,2017
[东方玄幻],轮回剑主,6645,2017
[都市生活],最强狂兵,5873,2017
[传统武侠],承天,5755,2017
[异世大陆],丹符至尊,5738,2017
[异世大陆],原血神座,5308,2017
[古典仙侠],钧天图,4427,2017
[奇幻修真],剑道争锋,3912,2017
[都市异能],末日刁民,1767,2017
[异世大陆],永夜君王,1536,2017
[转世重生],官方救世主,1527,2017
[东方玄幻],盖世帝尊,1523,2017
[架空历史],锦衣春秋,1415,2017
[奇幻修真],我有不死之身,1307,2017
[东方玄幻],大夏王侯,1290,2017
[都市异能],纯禽记者,1278,2017
[东方玄幻],无敌剑域,1237,2017
[东方玄幻],踏天无痕,1062,2017
[奇幻修真],偷香高手,864,2017
[都市生活],近身狂兵,696,2017
[都市异能],超强透视,674,2017
[都市异能],最强妖孽,640,2017
[奇幻修真],仙路至尊,562,2017
[东方玄幻],一世独尊,530,2017
[奇幻修真],天刑纪,526,2017
[东方玄幻],天骄战纪,516,2017
[奇幻修真],九界仙尊,504,2017
[进化变异],星辰之主,385,2017
[东方玄幻],逆天邪神,350,2017
[东方玄幻],御天神帝,319,2017
[都市异能],极品神眼,319,2017
[新派武侠],在七扇门当差的日子,318,2017
[都市异能],逆鳞,312,2017
[都市异能],超品神瞳,279,2017
[异世大陆],万域之王,242,2017
[江湖情仇],无间枭雄,225,2017
[架空历史],大明1617,221,2017
[东方玄幻],十方神王,216,2017
[都市生活],全音阶狂潮,204,2017
[都市生活],妙医鸿途,194,2017
[穿越历史],唐谋天下,189,2017
[东方玄幻],火帝神尊,187,2017
[都市生活],超品战兵,11187,2017
[都市异能],超品神瞳,9551,2017
[都市生活],医等狂兵,7154,2017
[都市异能],末日刁民,6083,2017
[都市生活],最强狂兵,5666,2017
[都市异能],纯禽记者,4123,2017
[东方玄幻],大逆之门,3637,2017
[异世大陆],原血神座,2923,2017
[都市生活],绝品强少,2659,2017
[穿越历史],唐谋天下,2557,2017
[都市生活],至尊纨绔,2124,2017
[东方玄幻],御龙九天,2040,2017
[异世大陆],永夜君王,1576,2017
[转世重生],官方救世主,1454,2017
[东方玄幻],踏天无痕,1319,2017
[都市生活],近身狂兵,1229,2017
[东方玄幻],盖世帝尊,1158,2017
[都市异能],极品神眼,1067,2017
[奇幻修真],九界仙尊,1017,2017
[东方玄幻],大夏王侯,1006,2017
[东方玄幻],无敌剑域,1004,2017
