类别,书名,月票数
[都市生活],超品战兵,11187
[都市异能],超品神瞳,9551
[都市生活],医等狂兵,7154
[都市异能],末日刁民,6083
[都市生活],最强狂兵,5666
[都市异能],纯禽记者,4123
[东方玄幻],大逆之门,3637
[异世大陆],原血神座,2923
[都市生活],绝品强少,2659
[穿越历史],唐谋天下,2557
[都市生活],至尊纨绔,2124
[东方玄幻],御龙九天,2040
[异世大陆],永夜君王,1576
[转世重生],官方救世主,1454
[东方玄幻],踏天无痕,1319
[都市生活],近身狂兵,1229
[东方玄幻],盖世帝尊,1158
[都市异能],极品神眼,1067
[奇幻修真],九界仙尊,1017
[东方玄幻],大夏王侯,1006
[东方玄幻],无敌剑域,1004
[奇幻修真],仙路至尊,794
[东方玄幻],道破轮回,607
[进化变异],星辰之主,443
[末世危机],末日岩帝,439
[东方玄幻],逆天邪神,438
[末世危机],末日之无上王座,435
[东方玄幻],一世独尊,428
[奇幻修真],偷香高手,400
[东方玄幻],天骄战纪,377
[东方玄幻],龙符,363
[都市异能],最强妖孽,309
[架空历史],大明1617,286
[奇幻修真],天刑纪,255
[架空历史],锦衣春秋,249
[东方玄幻],火帝神尊,228
[都市异能],逆鳞,226
[江湖情仇],无间枭雄,218
[都市生活],妙医鸿途,198
[穿越历史],三国之最风流,193
[异世大陆],万域之王,187
[穿越历史],宰执天下,174
[穿越历史],混在1275,151
[都市异能],医流狂兵,149
[都市生活],医品宗师,146
[都市生活],最强逆袭,139
[东方玄幻],天降鬼才,133
[都市重生],桃运邪医,128
[东方玄幻],十方神王,125
[虚拟网游],网游之梦幻法师,122
[东方玄幻],九天剑主,121
[穿越历史],大宋王侯,119
[东方玄幻],雪中悍刀行,113
[进化变异],末日边缘,112
[新派武侠],在七扇门当差的日子,110
[东方玄幻],御天神帝,110
[东方玄幻],儒武争锋,107
[奇幻修真],剑王朝,97
