类别,书名,月票数
[都市生活],医品宗师,10278
[都市生活],最强逆袭,9655
[都市异能],超品神瞳,7368
[都市生活],超品战兵,4977
[都市生活],最强狂兵,4927
[都市生活],透视高手,4409
[东方玄幻],儒武争锋,4188
[东方玄幻],轮回剑主,3732
[异世大陆],丹符至尊,3325
[都市异能],纯禽记者,3254
[异世大陆],原血神座,3187
[古典仙侠],书剑长安,2394
[都市生活],霉运阴阳眼,2264
[异世大陆],永夜君王,1946
[东方玄幻],无敌剑域,1814
[都市异能],末日刁民,1689
[东方玄幻],踏天无痕,1443
[东方玄幻],大夏王侯,1249
[东方玄幻],御龙九天,1246
[都市重生],异界霸主在都市,1217
[都市生活],全音阶狂潮,1143
[架空历史],锦衣春秋,910
[东方玄幻],御天神帝,867
[东方玄幻],大逆之门,733
[都市生活],近身狂兵,631
[奇幻修真],偷香高手,592
[都市异能],逆鳞,586
[奇幻修真],九界仙尊,584
[东方玄幻],祭炼山河,571
[奇幻修真],帝念永存,569
[奇幻修真],仙路至尊,546
[进化变异],星辰之主,496
[东方玄幻],盖世帝尊,488
[东方玄幻],天骄战纪,460
[穿越历史],三国之最风流,433
[东方玄幻],一世独尊,429
[东方玄幻],雪中悍刀行,429
[进化变异],末日边缘,404
[东方玄幻],龙符,393
[东方玄幻],逆天邪神,353
[都市生活],妙医鸿途,337
[奇幻修真],剑王朝,306
[架空历史],大明1617,281
[异世大陆],万域之王,259
[东方玄幻],火帝神尊,243
[都市异能],最强妖孽,228
[江湖情仇],无间枭雄,217
[东方玄幻],十方神王,206
[末世危机],末世危城,204
[奇幻修真],天刑纪,199
[古典仙侠],仙武道纪,191
[东方玄幻],圣灵君王,181
[东方玄幻],丹武狂神,173
[穿越历史],宰执天下,151
[东方玄幻],九天剑主,139
[都市异能],极品神眼,123
[东方玄幻],至上神座,119
