类别,书名,月票数
[东方玄幻],龙符,12583
[都市生活],超品战兵,10487
[都市生活],最强狂兵,8391
[东方玄幻],十方神王,6903
[东方玄幻],儒武争锋,5242
[古典仙侠],书剑长安,5158
[东方玄幻],祭炼山河,3004
[东方玄幻],踏天无痕,2918
[新派武侠],在中原行镖的日子,2861
[都市异能],纯禽记者,2598
[东方玄幻],火帝神尊,2565
[都市生活],近身狂兵,2054
[奇幻修真],九死仙尊,1821
[东方玄幻],无敌剑域,1703
[都市异能],末日刁民,1557
[异世大陆],原血神座,1519
[都市生活],霉运阴阳眼,1511
[都市异能],非凡高手,1365
[都市生活],极品神医,1334
[都市异能],逆鳞,1294
[东方玄幻],天骄战纪,1161
[奇幻修真],偷香高手,1100
[奇幻修真],仙路至尊,1092
[都市生活],全音阶狂潮,896
[都市生活],透视高手,794
[东方玄幻],御天神帝,788
[异世大陆],永夜君王,783
[奇幻修真],九界仙尊,737
[东方玄幻],盖世帝尊,649
[架空历史],锦衣春秋,618
[都市异能],极品神眼,605
[进化变异],星辰之主,507
[东方玄幻],雪中悍刀行,486
[都市异能],超品神瞳,440
[奇幻修真],剑王朝,433
[架空历史],大明1617,381
[江湖情仇],无间枭雄,361
[东方玄幻],九星杀神,355
[东方玄幻],一世独尊,323
[东方玄幻],大夏王侯,317
[都市异能],最强妖孽,294
[虚拟网游],网游之梦幻法师,292
[东方玄幻],逆天邪神,277
[东方玄幻],大逆之门,246
[东方玄幻],剑道通神,219
[都市生活],仙界app,201
[异世大陆],万域之王,196
[末世危机],末世危城,196
[奇幻修真],天刑纪,194
[都市生活],妙医鸿途,191
[进化变异],末日边缘,179
[东方玄幻],丹武九重天,145
[异世大陆],踏破星河,135
[穿越历史],大宋王侯,134
[穿越历史],明贼,130
[穿越历史],混在1275,118
[穿越历史],宰执天下,113
[东方玄幻],九天剑主,93
[东方玄幻],诸天谣,93
