类别,书名,月票数
[都市生活],最强狂兵,5720
[东方玄幻],御天神帝,5415
[古典仙侠],仙路争锋,5192
[东方玄幻],龙符,4186
[奇幻修真],剑王朝,4170
[都市异能],逆鳞,3926
[异世大陆],永夜君王,3288
[都市异能],纯禽记者,2378
[东方玄幻],大荒蛮神,1566
[东方玄幻],盖世帝尊,1229
[东方玄幻],雪中悍刀行,1004
[都市生活],近身狂兵,870
[奇幻修真],仙路至尊,745
[都市异能],极品神眼,738
[穿越历史],十国千娇,679
[东方玄幻],养道,672
[古典仙侠],戮仙,630
[都市异能],超品神瞳,625
[东方玄幻],逆天邪神,591
[都市生活],透视高手,393
[东方玄幻],符皇,321
[东方玄幻],踏天争仙,261
[奇幻修真],天刑纪,258
[都市生活],超品战兵,229
[古典仙侠],仙武道纪,200
[虚拟网游],网游之梦幻法师,185
[架空历史],大明1617,181
[架空历史],国色生枭,181
[穿越历史],宰执天下,170
[都市生活],全音阶狂潮,156
[虚拟网游],网游之我是终极大BOSS,145
[东方玄幻],大夏王侯,136
[东方玄幻],丹武九重天,133
[东方玄幻],十方神王,123
[奇幻修真],偷香高手,117
[进化变异],末日边缘,113
[东方玄幻],仙武同修,103
[东方玄幻],九阳踏天,101
[西方奇幻],狼血神探,91
[科技时代],星际传奇,82
[都市生活],绝品保镖,71
[东方玄幻],无极剑神,63
[东方玄幻],帝临鸿蒙,57
[都市生活],特种神医,56
[穿越历史],锦衣王侯,45
[架空历史],争龙道,42
[都市生活],天字号保镖,41
[都市生活],终极教师,39
