类别,书名,月票数
[东方玄幻],祭炼山河,47037
[东方玄幻],御天神帝,37860
[都市生活],最强狂兵,25122
[都市生活],超品战兵,17885
[都市生活],妙医鸿途,10755
[东方玄幻],雪中悍刀行,7327
[都市异能],末日刁民,5859
[进化变异],星辰之主,5510
[东方玄幻],大逆之门,4999
[古典仙侠],仙武道纪,4463
[古典仙侠],仙路争锋,3885
[都市异能],纯禽记者,3661
[东方玄幻],十方神王,3598
[东方玄幻],无敌剑域,3433
[奇幻修真],偷香高手,2907
[东方玄幻],丹武九重天,2867
[东方玄幻],九天剑主,2832
[东方玄幻],踏天无痕,2792
[都市异能],极品神眼,2744
[东方玄幻],盖世帝尊,2480
[异世大陆],永夜君王,2177
[都市生活],全音阶狂潮,2047
[东方玄幻],儒武争锋,2026
[架空历史],锦衣春秋,1949
[都市生活],近身狂兵,1853
[都市异能],逆鳞,1745
[都市生活],透视高手,1651
[江湖情仇],无间枭雄,1503
[穿越历史],大宋王侯,1221
[东方玄幻],天骄战纪,1206
[东方玄幻],龙符,996
[新派武侠],在中原行镖的日子,988
[奇幻修真],仙路至尊,941
[都市异能],超品神瞳,850
[奇幻修真],九界仙尊,834
[异世大陆],踏破星河,685
[都市异能],最强妖孽,667
[架空历史],大明1617,549
[进化变异],末日边缘,544
[东方玄幻],大夏王侯,451
[奇幻修真],剑王朝,433
[东方玄幻],逆天邪神,369
[古典仙侠],书剑长安,364
[异世大陆],万域之王,348
[奇幻修真],天刑纪,334
[东方玄幻],一世独尊,288
[穿越历史],宰执天下,275
[末世危机],末世危城,247
[东方玄幻],帝破九霄,230
[都市生活],至尊纨绔,207
[都市生活],霉运阴阳眼,205
[东方玄幻],剑道通神,161
[穿越历史],明贼,148
[东方玄幻],帝临鸿蒙,117
[都市生活],天字号保镖,116
