类别,书名,月票数
[古典仙侠],仙路争锋,9389
[东方玄幻],十方神王,5811
[都市生活],超品战兵,5565
[都市生活],最强狂兵,3557
[都市异能],逆鳞,3250
[异世大陆],永夜君王,2903
[都市异能],最强妖孽,2845
[都市生活],全音阶狂潮,2643
[异世大陆],万域之王,2623
[东方玄幻],雪中悍刀行,2475
[东方玄幻],无敌剑域,2096
[都市异能],超品神瞳,1586
[都市异能],纯禽记者,1569
[都市生活],透视高手,1375
[都市异能],极品神眼,1323
[新派武侠],在中原行镖的日子,1281
[架空历史],锦衣春秋,1227
[都市生活],近身狂兵,1219
[古典仙侠],仙武道纪,1216
[东方玄幻],大魔仙,1190
[奇幻修真],仙路至尊,1158
[东方玄幻],逆天邪神,865
[东方玄幻],龙符,849
[东方玄幻],盖世帝尊,833
[东方玄幻],天骄战纪,775
[奇幻修真],偷香高手,697
[进化变异],末日边缘,653
[东方玄幻],御天神帝,641
[古典仙侠],书剑长安,516
[古典仙侠],戮仙,511
[穿越历史],十国千娇,444
[奇幻修真],剑王朝,417
[都市生活],霉运阴阳眼,383
[架空历史],大明1617,340
[东方玄幻],大夏王侯,281
[穿越历史],宰执天下,273
[穿梭时空],无尽破碎,246
[奇幻修真],天刑纪,193
[科技时代],超能纪元,162
[都市生活],绝品保镖,161
[东方玄幻],剑道通神,115
[东方玄幻],丹武九重天,108
[虚拟网游],网游之梦幻法师,105
[虚拟网游],网游之我是终极大BOSS,97
[穿越历史],明贼,91
[古典仙侠],剑隐仙,83
[都市生活],特种神医,77
[东方玄幻],大荒蛮神,75
[东方玄幻],斗战主宰,73
[现代修真],罚天,72
[东方玄幻],九星杀神,64
[穿越历史],锦衣王侯,63
