类别,书名,月票数
[异世大陆],万域之王,13768
[都市生活],最强狂兵,12371
[东方玄幻],儒武争锋,6664
[东方玄幻],十方神王,5092
[都市生活],至尊纨绔,4385
[江湖情仇],无间枭雄,4103
[东方玄幻],雪中悍刀行,3758
[东方玄幻],无敌剑域,3713
[都市异能],纯禽记者,3627
[都市生活],近身狂兵,3339
[都市生活],超品战兵,3094
[古典仙侠],仙路争锋,2682
[异世大陆],永夜君王,2049
[奇幻修真],偷香高手,2011
[东方玄幻],踏天无痕,1660
[东方玄幻],轩辕神录,1597
[都市异能],逆鳞,1571
[东方玄幻],大夏王侯,1426
[都市异能],极品神眼,1390
[东方玄幻],大逆之门,1296
[东方玄幻],天骄战纪,1038
[进化变异],星辰之主,897
[东方玄幻],大魔仙,817
[都市异能],末日刁民,773
[东方玄幻],盖世帝尊,740
[都市生活],全音阶狂潮,719
[东方玄幻],龙符,704
[东方玄幻],一世独尊,648
[奇幻修真],九界仙尊,548
[都市异能],超品神瞳,522
[奇幻修真],剑王朝,518
[古典仙侠],齐天大魔猴,492
[奇幻修真],仙路至尊,408
[架空历史],大明1617,396
[东方玄幻],御天神帝,385
[东方玄幻],窃日偷天,367
[都市异能],最强妖孽,361
[架空历史],锦衣春秋,334
[新派武侠],在中原行镖的日子,330
[东方玄幻],逆天邪神,322
[古典仙侠],仙武道纪,295
[都市生活],透视高手,261
[进化变异],末日边缘,217
[穿越历史],宰执天下,209
[古典仙侠],书剑长安,209
[奇幻修真],天刑纪,178
[东方玄幻],帝破九霄,142
[异世大陆],踏破星河,137
[都市异能],神品透视,134
[穿梭时空],无尽破碎,132
[东方玄幻],剑道通神,111
[穿越历史],大宋王侯,93
[穿越历史],明贼,87
[都市生活],绝品保镖,73
[都市生活],天字号保镖,72
