类别,书名,月票数
[都市异能],纯禽记者,11518
[东方玄幻],大荒蛮神,6952
[古典仙侠],仙路争锋,4761
[都市生活],全音阶狂潮,4623
[东方玄幻],天骄战纪,3815
[异世大陆],永夜君王,3522
[古典仙侠],仙武道纪,2925
[都市异能],神级保镖,2881
[奇幻修真],天刑纪,2768
[都市生活],最强狂兵,2704
[都市生活],近身狂兵,2613
[东方玄幻],九阳踏天,2282
[都市异能],逆鳞,1883
[东方玄幻],雪中悍刀行,1829
[东方玄幻],盖世帝尊,1800
[东方玄幻],无敌剑域,1505
[都市异能],极品神眼,1005
[东方玄幻],龙符,935
[古典仙侠],戮仙,766
[奇幻修真],仙路至尊,599
[奇幻修真],剑王朝,490
[都市异能],超品神瞳,463
[东方玄幻],逆天邪神,429
[东方玄幻],十方神王,411
[奇幻修真],偷香高手,362
[穿越历史],宰执天下,326
[穿越历史],十国千娇,325
[东方玄幻],养道,257
[都市生活],透视高手,230
[架空历史],大明1617,202
[东方玄幻],御天神帝,187
[都市生活],霉运阴阳眼,181
[东方玄幻],剑道通神,177
[东方玄幻],大夏王侯,175
[东方玄幻],仙武同修,136
[虚拟网游],网游之我是终极大BOSS,131
[进化变异],末日边缘,130
[东方玄幻],九星杀神,121
[东方玄幻],斗战主宰,113
[架空历史],国色生枭,97
[虚拟网游],网游之梦幻法师,82
[西方奇幻],狼血神探,72
[都市生活],绝品保镖,71
[穿梭时空],无尽破碎,71
[东方玄幻],帝临鸿蒙,64
[科技时代],星际传奇,62
[都市生活],特种神医,56
[科技时代],超能纪元,53
[东方玄幻],丹武九重天,53
