类别,书名,月票数
[东方玄幻],踏天无痕,10584
[都市生活],超品战兵,9021
[东方玄幻],诸天谣,6426
[东方玄幻],十方神王,5310
[异世大陆],万域之王,5122
[都市异能],纯禽记者,5057
[都市生活],最强狂兵,4178
[东方玄幻],无敌剑域,3073
[新派武侠],在中原行镖的日子,3055
[古典仙侠],仙路争锋,2692
[异世大陆],永夜君王,2647
[东方玄幻],雪中悍刀行,2147
[都市异能],逆鳞,2110
[东方玄幻],大夏王侯,1977
[都市生活],至尊纨绔,1544
[都市生活],全音阶狂潮,1346
[都市生活],近身狂兵,1253
[东方玄幻],天骄战纪,1126
[穿越历史],宰执天下,1068
[都市异能],超品神瞳,1003
[奇幻修真],仙路至尊,881
[古典仙侠],仙武道纪,812
[奇幻修真],偷香高手,762
[东方玄幻],御天神帝,756
[古典仙侠],剑隐仙,711
[东方玄幻],龙符,708
[都市生活],透视高手,689
[东方玄幻],逆天邪神,642
[架空历史],锦衣春秋,583
[东方玄幻],盖世帝尊,573
[都市生活],霉运阴阳眼,558
[都市异能],最强妖孽,502
[都市异能],极品神眼,500
[进化变异],末日边缘,465
[奇幻修真],剑王朝,411
[穿越历史],明贼,392
[古典仙侠],书剑长安,382
[架空历史],大明1617,360
[穿越历史],十国千娇,298
[奇幻修真],天刑纪,220
[东方玄幻],大魔仙,213
[东方玄幻],剑道通神,149
[东方玄幻],龙武战神,119
[东方玄幻],轩辕神录,118
[穿梭时空],无尽破碎,118
[都市生活],绝品保镖,106
[东方玄幻],丹武九重天,93
[科技时代],星际传奇,69
[穿越历史],混在1275,57
[东方玄幻],九星杀神,56
[科技时代],超能纪元,55
[东方玄幻],帝临鸿蒙,53
[都市生活],特种神医,52
[都市异能],神级保镖,48
