类别,书名,月票数,时间
[都市生活],最强狂兵,5720,2016
[东方玄幻],御天神帝,5415,2016
[古典仙侠],仙路争锋,5192,2016
[东方玄幻],龙符,4186,2016
[奇幻修真],剑王朝,4170,2016
[都市异能],逆鳞,3926,2016
[异世大陆],永夜君王,3288,2016
[都市异能],纯禽记者,2378,2016
[东方玄幻],大荒蛮神,1566,2016
[东方玄幻],盖世帝尊,1229,2016
[东方玄幻],雪中悍刀行,1004,2016
[都市生活],近身狂兵,870,2016
[奇幻修真],仙路至尊,745,2016
[都市异能],极品神眼,738,2016
[穿越历史],十国千娇,679,2016
[东方玄幻],养道,672,2016
[古典仙侠],戮仙,630,2016
[都市异能],超品神瞳,625,2016
[东方玄幻],逆天邪神,591,2016
[都市生活],透视高手,393,2016
[东方玄幻],符皇,321,2016
[东方玄幻],踏天争仙,261,2016
[奇幻修真],天刑纪,258,2016
[都市生活],超品战兵,229,2016
[古典仙侠],仙武道纪,200,2016
[虚拟网游],网游之梦幻法师,185,2016
[架空历史],大明1617,181,2016
[架空历史],国色生枭,181,2016
[穿越历史],宰执天下,170,2016
[都市生活],全音阶狂潮,156,2016
[虚拟网游],网游之我是终极大BOSS,145,2016
[东方玄幻],大夏王侯,136,2016
[东方玄幻],丹武九重天,133,2016
[东方玄幻],十方神王,123,2016
[奇幻修真],偷香高手,117,2016
[进化变异],末日边缘,113,2016
[东方玄幻],仙武同修,103,2016
[东方玄幻],九阳踏天,101,2016
[西方奇幻],狼血神探,91,2016
[科技时代],星际传奇,82,2016
[都市生活],绝品保镖,71,2016
[东方玄幻],无极剑神,63,2016
[东方玄幻],帝临鸿蒙,57,2016
[都市生活],特种神医,56,2016
[穿越历史],锦衣王侯,45,2016
[架空历史],争龙道,42,2016
[都市生活],最强狂兵,6765,2016
[古典仙侠],仙路争锋,6694,2016
[奇幻修真],仙路至尊,3692,2016
[古典仙侠],仙武道纪,3218,2016
[异世大陆],永夜君王,3167,2016
[都市异能],逆鳞,3157,2016
[都市异能],纯禽记者,2645,2016
[东方玄幻],养道,2600,2016
[东方玄幻],无敌剑域,2550,2016
[东方玄幻],盖世帝尊,2428,2016
[东方玄幻],大荒蛮神,2370,2016
[东方玄幻],天骄战纪,1916,2016
[东方玄幻],龙符,1487,2016
[东方玄幻],丹武九重天,1487,2016
[奇幻修真],剑王朝,1189,2016
[古典仙侠],戮仙,1127,2016
[东方玄幻],雪中悍刀行,1029,2016
[都市生活],近身狂兵,1007,2016
[奇幻修真],天刑纪,743,2016
[奇幻修真],偷香高手,486,2016
[东方玄幻],御天神帝,399,2016
[穿越历史],十国千娇,377,2016
[东方玄幻],逆天邪神,369,2016
[都市生活],透视高手,363,2016
[东方玄幻],大夏王侯,336,2016
[都市异能],超品神瞳,301,2016
[东方玄幻],九阳踏天,292,2016
[东方玄幻],无极剑神,284,2016
[都市异能],极品神眼,273,2016
[东方玄幻],十方神王,228,2016
[穿越历史],宰执天下,180,2016
[架空历史],大明1617,174,2016
[进化变异],末日边缘,144,2016
[东方玄幻],九星杀神,131,2016
[东方玄幻],仙武同修,128,2016
[东方玄幻],剑道通神,126,2016
[都市生活],全音阶狂潮,117,2016
[科技时代],星际传奇,111,2016
[架空历史],国色生枭,109,2016
[虚拟网游],网游之我是终极大BOSS,95,2016
[东方玄幻],踏天争仙,91,2016
[科技时代],超能纪元,88,2016
[西方奇幻],狼血神探,82,2016
[东方玄幻],符皇,75,2016
[穿越历史],锦衣王侯,62,2016
[都市生活],绝品保镖,58,2016
[都市异能],纯禽记者,11518,2016
[东方玄幻],大荒蛮神,6952,2016
[古典仙侠],仙路争锋,4761,2016
[都市生活],全音阶狂潮,4623,2016
[东方玄幻],天骄战纪,3815,2016
[异世大陆],永夜君王,3522,2016
[古典仙侠],仙武道纪,2925,2016
[都市异能],神级保镖,2881,2016
[奇幻修真],天刑纪,2768,2016
[都市生活],最强狂兵,2704,2016
[都市生活],近身狂兵,2613,2016
[东方玄幻],九阳踏天,2282,2016
[都市异能],逆鳞,1883,2016
[东方玄幻],雪中悍刀行,1829,2016
[东方玄幻],盖世帝尊,1800,2016
[东方玄幻],无敌剑域,1505,2016
[都市异能],极品神眼,1005,2016
[东方玄幻],龙符,935,2016
[古典仙侠],戮仙,766,2016
[奇幻修真],仙路至尊,599,2016
[奇幻修真],剑王朝,490,2016
[都市异能],超品神瞳,463,2016
[东方玄幻],逆天邪神,429,2016
[东方玄幻],十方神王,411,2016
[奇幻修真],偷香高手,362,2016
[穿越历史],宰执天下,326,2016
[穿越历史],十国千娇,325,2016
[东方玄幻],养道,257,2016
[都市生活],透视高手,230,2016
[架空历史],大明1617,202,2016
[东方玄幻],御天神帝,187,2016
[都市生活],霉运阴阳眼,181,2016
[东方玄幻],剑道通神,177,2016
[东方玄幻],大夏王侯,175,2016
[东方玄幻],仙武同修,136,2016
[虚拟网游],网游之我是终极大BOSS,131,2016
[进化变异],末日边缘,130,2016
[东方玄幻],九星杀神,121,2016
[东方玄幻],斗战主宰,113,2016
[架空历史],国色生枭,97,2016
[虚拟网游],网游之梦幻法师,82,2016
[西方奇幻],狼血神探,72,2016
[都市生活],绝品保镖,71,2016
[穿梭时空],无尽破碎,71,2016
[东方玄幻],帝临鸿蒙,64,2016
