类别,书名,月票数
[都市生活],最强狂兵,6765
[古典仙侠],仙路争锋,6694
[奇幻修真],仙路至尊,3692
[古典仙侠],仙武道纪,3218
[异世大陆],永夜君王,3167
[都市异能],逆鳞,3157
[都市异能],纯禽记者,2645
[东方玄幻],养道,2600
[东方玄幻],无敌剑域,2550
[东方玄幻],盖世帝尊,2428
[东方玄幻],大荒蛮神,2370
[东方玄幻],天骄战纪,1916
[东方玄幻],龙符,1487
[东方玄幻],丹武九重天,1487
[奇幻修真],剑王朝,1189
[古典仙侠],戮仙,1127
[东方玄幻],雪中悍刀行,1029
[都市生活],近身狂兵,1007
[奇幻修真],天刑纪,743
[奇幻修真],偷香高手,486
[东方玄幻],御天神帝,399
[穿越历史],十国千娇,377
[东方玄幻],逆天邪神,369
[都市生活],透视高手,363
[东方玄幻],大夏王侯,336
[都市异能],超品神瞳,301
[东方玄幻],九阳踏天,292
[东方玄幻],无极剑神,284
[都市异能],极品神眼,273
[东方玄幻],十方神王,228
[穿越历史],宰执天下,180
[架空历史],大明1617,174
[进化变异],末日边缘,144
[东方玄幻],九星杀神,131
[东方玄幻],仙武同修,128
[东方玄幻],剑道通神,126
[都市生活],全音阶狂潮,117
[科技时代],星际传奇,111
[架空历史],国色生枭,109
[虚拟网游],网游之我是终极大BOSS,95
[东方玄幻],踏天争仙,91
[科技时代],超能纪元,88
[西方奇幻],狼血神探,82
[东方玄幻],符皇,75
[穿越历史],锦衣王侯,62
[都市生活],绝品保镖,58
[东方玄幻],问镜,55
[东方玄幻],帝临鸿蒙,53
[都市生活],特种神医,52
[穿梭时空],无尽破碎,49
