类别,书名,月票数
[都市生活],最强狂兵,10406
[古典仙侠],仙路争锋,9976
[都市异能],纯禽记者,7653
[东方玄幻],御天神帝,6960
[穿越历史],十国千娇,5628
[东方玄幻],十方神王,4701
[都市生活],全音阶狂潮,2840
[东方玄幻],天骄战纪,2545
[古典仙侠],仙武道纪,2431
[异世大陆],永夜君王,2424
[东方玄幻],雪中悍刀行,2289
[东方玄幻],无敌剑域,2055
[都市异能],逆鳞,1801
[异术超能],超神进化,1352
[都市异能],超品神瞳,1297
[新派武侠],在中原行镖的日子,1217
[东方玄幻],盖世帝尊,1185
[都市生活],近身狂兵,963
[东方玄幻],大夏王侯,937
[东方玄幻],大魔仙,893
[东方玄幻],龙符,863
[进化变异],末日边缘,637
[东方玄幻],逆天邪神,577
[古典仙侠],剑隐仙,507
[奇幻修真],剑王朝,504
[奇幻修真],仙路至尊,455
[穿越历史],宰执天下,358
[奇幻修真],天刑纪,319
[东方玄幻],帝临鸿蒙,313
[都市异能],极品神眼,311
[架空历史],大明1617,309
[都市生活],透视高手,280
[古典仙侠],戮仙,278
[都市生活],霉运阴阳眼,270
[东方玄幻],踏天争仙,266
[东方玄幻],剑道通神,205
[奇幻修真],偷香高手,195
[东方玄幻],大荒蛮神,183
[东方玄幻],仙武同修,106
[都市生活],绝品保镖,102
[虚拟网游],网游之我是终极大BOSS,91
[架空历史],国色生枭,86
[东方玄幻],丹武九重天,80
[东方玄幻],九阳踏天,79
[科技时代],超能纪元,69
[都市异能],神级保镖,66
[都市生活],特种神医,61
[都市生活],超品战兵,59
[科技时代],星际传奇,59
[东方玄幻],九星杀神,57
