类别,书名,月票数
[东方玄幻],大逆之门,37923
[东方玄幻],无敌剑域,20873
[都市生活],超品战兵,13526
[都市生活],最强狂兵,12998
[东方玄幻],诸天谣,12346
[进化变异],星辰之主,10135
[都市异能],纯禽记者,10006
[异世大陆],万域之王,8966
[东方玄幻],踏天无痕,7109
[都市生活],全音阶狂潮,6942
[古典仙侠],仙路争锋,5243
[新派武侠],在中原行镖的日子,4885
[都市异能],极品神眼,4186
[东方玄幻],雪中悍刀行,4022
[异世大陆],永夜君王,3514
[都市生活],近身狂兵,3372
[东方玄幻],剑道通神,3242
[东方玄幻],大魔仙,3053
[东方玄幻],轩辕神录,3043
[古典仙侠],书剑长安,3015
[奇幻修真],偷香高手,2929
[都市异能],超品神瞳,1838
[都市异能],末日刁民,1816
[东方玄幻],天骄战纪,1741
[都市异能],逆鳞,1719
[东方玄幻],盖世帝尊,1684
[东方玄幻],龙符,1126
[都市生活],透视高手,984
[东方玄幻],御天神帝,889
[穿越历史],宰执天下,829
[东方玄幻],一世独尊,810
[古典仙侠],齐天大魔猴,750
[架空历史],大明1617,629
[奇幻修真],仙路至尊,578
[穿梭时空],猩红王座,519
[奇幻修真],剑王朝,519
[东方玄幻],儒武争锋,517
[东方玄幻],逆天邪神,469
[都市异能],最强妖孽,444
[东方玄幻],大夏王侯,429
[科技时代],超能纪元,428
[东方玄幻],十方神王,425
[架空历史],锦衣春秋,411
[穿越历史],大宋王侯,398
[奇幻修真],天刑纪,366
[都市生活],绝品保镖,352
[进化变异],末日边缘,340
[末世危机],末世危城,309
[穿越历史],十国千娇,297
[古典仙侠],仙武道纪,290
[都市生活],至尊纨绔,263
[东方玄幻],帝临鸿蒙,148
[东方玄幻],九星杀神,138
[东方玄幻],斗战主宰,115
