类别,书名,月票数
[新派武侠],在中原行镖的日子,12544
[都市异能],最强妖孽,7589
[东方玄幻],十方神王,6703
[都市生活],超品战兵,5192
[都市异能],纯禽记者,4248
[东方玄幻],火帝神尊,3790
[东方玄幻],丹武九重天,2989
[东方玄幻],大夏王侯,2883
[都市生活],妙医鸿途,2631
[东方玄幻],儒武争锋,2610
[东方玄幻],无敌剑域,2150
[都市生活],最强狂兵,2047
[末世危机],末世危城,1991
[古典仙侠],仙路争锋,1819
[异世大陆],永夜君王,1775
[都市生活],全音阶狂潮,1472
[奇幻修真],偷香高手,1308
[东方玄幻],九天剑主,1231
[都市异能],末日刁民,1203
[东方玄幻],祭炼山河,1166
[都市异能],逆鳞,1055
[东方玄幻],踏天无痕,1034
[东方玄幻],盖世帝尊,915
[古典仙侠],齐天大魔猴,913
[东方玄幻],九星杀神,900
[都市生活],透视高手,867
[进化变异],星辰之主,811
[奇幻修真],九界仙尊,801
[东方玄幻],天骄战纪,780
[都市异能],极品神眼,766
[架空历史],锦衣春秋,733
[都市异能],超品神瞳,730
[都市生活],近身狂兵,721
[东方玄幻],龙符,720
[奇幻修真],仙路至尊,621
[东方玄幻],御天神帝,599
[架空历史],大明1617,596
[东方玄幻],雪中悍刀行,553
[江湖情仇],无间枭雄,540
[东方玄幻],大逆之门,509
[奇幻修真],剑王朝,378
[都市生活],极品神医,375
[都市生活],霉运阴阳眼,359
[异世大陆],万域之王,308
[都市异能],非凡高手,300
[东方玄幻],一世独尊,276
[异世大陆],踏破星河,264
[都市异能],神品透视,263
[进化变异],末日边缘,258
[古典仙侠],仙武道纪,257
[东方玄幻],逆天邪神,253
[奇幻修真],天刑纪,229
[穿越历史],宰执天下,212
[古典仙侠],书剑长安,172
[东方玄幻],至上神座,160
[穿越历史],明贼,142
[东方玄幻],剑道通神,105
